sample,celltype,fraction,config,method,subject,time
KMD01_Post_beta,B,0.0,centBloodSub,CP_nnls_norm,KMD01,Post
KMD01_Post_beta,NK,0.0537105162026377,centBloodSub,CP_nnls_norm,KMD01,Post
KMD01_Post_beta,CD4T,0.03686255915587608,centBloodSub,CP_nnls_norm,KMD01,Post
KMD01_Post_beta,CD8T,0.004323592297674443,centBloodSub,CP_nnls_norm,KMD01,Post
KMD01_Post_beta,Mono,0.09772210708048379,centBloodSub,CP_nnls_norm,KMD01,Post
KMD01_Post_beta,Neutro,0.807381225263328,centBloodSub,CP_nnls_norm,KMD01,Post
KMD01_Post_beta,Eosino,0.0,centBloodSub,CP_nnls_norm,KMD01,Post
KMD01_Pre_beta,B,0.003415057155850885,centBloodSub,CP_nnls_norm,KMD01,Pre
KMD01_Pre_beta,NK,0.09311062521375536,centBloodSub,CP_nnls_norm,KMD01,Pre
KMD01_Pre_beta,CD4T,0.07866200601119172,centBloodSub,CP_nnls_norm,KMD01,Pre
KMD01_Pre_beta,CD8T,0.030791468031593418,centBloodSub,CP_nnls_norm,KMD01,Pre
KMD01_Pre_beta,Mono,0.14053183682504458,centBloodSub,CP_nnls_norm,KMD01,Pre
KMD01_Pre_beta,Neutro,0.653489006762564,centBloodSub,CP_nnls_norm,KMD01,Pre
KMD01_Pre_beta,Eosino,0.0,centBloodSub,CP_nnls_norm,KMD01,Pre
KMD02_Post_beta,B,0.023633706011466263,centBloodSub,CP_nnls_norm,KMD02,Post
KMD02_Post_beta,NK,0.06610250441507735,centBloodSub,CP_nnls_norm,KMD02,Post
KMD02_Post_beta,CD4T,0.03594591934079392,centBloodSub,CP_nnls_norm,KMD02,Post
KMD02_Post_beta,CD8T,0.0,centBloodSub,CP_nnls_norm,KMD02,Post
KMD02_Post_beta,Mono,0.07193196359608069,centBloodSub,CP_nnls_norm,KMD02,Post
KMD02_Post_beta,Neutro,0.8023859066365818,centBloodSub,CP_nnls_norm,KMD02,Post
KMD02_Post_beta,Eosino,0.0,centBloodSub,CP_nnls_norm,KMD02,Post
KMD02_Pre_beta,B,0.029124818526355383,centBloodSub,CP_nnls_norm,KMD02,Pre
KMD02_Pre_beta,NK,0.07884220018595721,centBloodSub,CP_nnls_norm,KMD02,Pre
KMD02_Pre_beta,CD4T,0.049010519421855615,centBloodSub,CP_nnls_norm,KMD02,Pre
KMD02_Pre_beta,CD8T,0.009525075843522874,centBloodSub,CP_nnls_norm,KMD02,Pre
KMD02_Pre_beta,Mono,0.0873219733214042,centBloodSub,CP_nnls_norm,KMD02,Pre
KMD02_Pre_beta,Neutro,0.7461754127009047,centBloodSub,CP_nnls_norm,KMD02,Pre
KMD02_Pre_beta,Eosino,0.0,centBloodSub,CP_nnls_norm,KMD02,Pre
