"gene","n_DMR_unadj","n_DMR_adj"
"BCL3",2,NA
"CCL2",1,NA
"CCL5",2,NA
"CD14",1,1
"CD68",1,NA
"CX3CR1",3,NA
"CXCL1",1,NA
"CXCL2",2,NA
"CXCL8",1,NA
"FCGR2A",2,NA
"FOS",1,1
"IFNG",2,NA
"IKBKB",1,NA
"IKBKE",1,NA
"IL10",1,NA
"IL18",2,NA
"IL1B",1,1
"IL1R1",1,NA
"IL1RN",1,NA
"IL6",1,NA
"IL6R",4,1
"IRAK4",1,1
"IRF1",1,NA
"IRF7",2,NA
"IRF8",3,2
"ITGAX",1,NA
"LYZ",1,1
"MAP3K7",1,1
"MAPK14",1,1
"NFKBIA",1,1
"NFKBIZ",2,2
"NLRP3",2,NA
"PTGS2",2,NA
"PYCARD",2,NA
"S100A8",3,NA
"S100A9",2,NA
"SOCS1",2,NA
"SPI1",1,NA
"STAT1",1,NA
"STAT3",2,NA
"TLR1",1,NA
"TLR4",1,NA
"TLR6",1,1
"TNF",4,NA
"TNFAIP3",3,NA
"TNFRSF1A",2,2
"TNIP1",2,1
"TRAF6",2,NA
