"gene","n_DMR_unadj","n_DMR_adj3lin"
"BCL3",2,1
"CCL2",1,NA
"CCL5",2,1
"CD14",1,1
"CD68",1,NA
"CX3CR1",3,NA
"CXCL1",1,NA
"CXCL2",2,1
"CXCL8",1,1
"FCGR2A",2,NA
"FOS",1,1
"IFNG",2,NA
"IKBKB",1,NA
"IKBKE",1,1
"IL10",1,NA
"IL18",2,NA
"IL1B",1,NA
"IL1R1",1,NA
"IL1RN",1,NA
"IL6",1,NA
"IL6R",4,1
"IRAK4",1,2
"IRF1",1,NA
"IRF7",2,NA
"IRF8",3,2
"ITGAX",1,NA
"LYZ",1,NA
"MAP3K7",1,1
"MAPK14",1,1
"NFKBIA",1,1
"NFKBIZ",2,3
"NLRP3",2,NA
"PTGS2",2,NA
"PYCARD",2,NA
"S100A8",3,NA
"S100A9",2,1
"SOCS1",2,1
"SPI1",1,NA
"STAT1",1,1
"STAT3",2,2
"TLR1",1,NA
"TLR4",1,NA
"TLR6",1,NA
"TNF",4,NA
"TNFAIP3",3,2
"TNFRSF1A",2,1
"TNIP1",2,1
"TRAF6",2,NA
