"gene","n_DMR"
"TNFAIP3",12
"TNF",9
"TNIP1",9
"IL6R",8
"TNFRSF1A",7
"NFKB2",7
"TRAF6",7
"STAT3",7
"IL1RN",7
"IL1R1",7
"PYCARD",7
"MAPK14",7
"NFKBIZ",6
"MYC",6
"IL10",5
"RELB",5
"IKBKB",5
"TLR4",5
"CXCL2",5
"IRF7",5
"MAP3K7",5
"S100A9",5
"MAPK8",5
"FOS",5
"IL1B",4
"RELA",4
"IKBKE",4
"NFKBIA",4
"TLR9",4
"CX3CR1",4
"STAT1",4
"IRF8",4
"CD68",4
"ITGAX",4
"PTGS2",4
"NOS2",4
"BCL3",4
"SOCS1",4
"TLR6",4
"IRAK4",4
"IL6",3
"NFKB1",3
"TLR2",3
"MYD88",3
"CXCL8",3
"CXCL10",3
"CCL2",3
"CCL5",3
"IRF1",3
"LYZ",3
"FCGR2A",3
"SOCS3",3
"S100A8",3
"S100A12",3
"NLRP3",3
"TLR1",3
"CD14",3
"TICAM1",3
"CEBPB",3
"SPI1",3
"TNFRSF1B",2
"IL1A",2
"IL6ST",2
"IFNG",2
"IFNGR1",2
"IRF3",2
"ITGAM",2
"IL18",2
"IL1RAP",2
"JUN",2
"CXCL1",1
"CCL3",1
"FCGR1A",1
"CASP1",1
"LY96",1
