"","CD8T","CD4T","NK","Bcell","Mono","Neu"
"KMD01_Post_beta",0.537940048387172,0,0,0.115613549880547,0.346446401732281,0
"KMD01_Pre_beta",0.516266077637413,0,0,0.124865972673054,0.358867949689532,0
"KMD02_Post_beta",0.541117350288971,0,0,0.137044152821848,0.32183849688918,0
"KMD02_Pre_beta",0.545413338707929,0,0,0.129903256799611,0.32468340449246,0
"KMD03_Post_beta",0.569605887701364,0,0,0.115386535825407,0.315007576473229,0
"KMD03_Pre_beta",0.579242831274478,0,0,0.11572151036791,0.305035658357612,0
"KMD04_Post_beta",0.529324568181218,0,0,0.108339106527368,0.362336325291414,0
"KMD04_Pre_beta",0.513706546415235,0,0,0.122540843626046,0.363752609958719,0
"KMD05_Post_beta",0.530033522271864,0,0,0.152197856217275,0.317768621510861,0
"KMD05_Pre_beta",0.504797599313699,0,0,0.149558658006974,0.345643742679327,0
"KMD06_Post_beta",0.5234585216545,0,0,0.138487282907512,0.338054195437988,0
"KMD06_Pre_beta",0.492900990046688,0,0,0.143352659834281,0.363746350119032,0
"KMD07_Post_beta",0.526171094543426,0,0,0.150985353998959,0.322843551457615,0
"KMD07_Pre_beta",0.517139245147201,0,0,0.146271062625049,0.33658969222775,0
"KMD08_Post_beta",0.514659029102006,0,0,0.137011287395008,0.348329683502987,0
"KMD08_Pre_beta",0.516462836262137,0,0,0.137078403756547,0.346458759981316,0
"KMD09_Post_beta",0.551403062137568,0,0,0.121549741202381,0.327047196660051,0
"KMD09_Pre_beta",0.532337961460923,0,0,0.133332295018528,0.334329743520549,0
"KMD10_Post_beta",0.517757529081079,0,0,0.124890958619179,0.357351512299742,0
"KMD10_Pre_beta",0.497093368770413,0,0,0.136539192157787,0.3663674390718,0
"KMD11_Post_beta",0.52061757428413,0,0,0.120017875756133,0.359364549959738,0
"KMD11_Pre_beta",0.520440529268133,0,0,0.109757494825068,0.3698019759068,0
"KMD12_Post_beta",0.516774140213933,0,0,0.151309107192089,0.331916752593978,0
"KMD12_Pre_beta",0.520208748174726,0,0,0.153302814352371,0.326488437472903,0
