config,method,celltype,n,mean_pre,mean_post,sd_pre,sd_post,median_delta,wilcoxon_p
cent12CT,CBS_svr_nu0.25,Baso,65,0.0077281419764012715,0.006830551391631369,0.011182152134130806,0.010534835923588741,0.0,0.518809073978113
cent12CT,CBS_svr_nu0.25,Bmem,65,0.0026084340648173327,0.0018824146153913728,0.006364319389104625,0.004751408246803303,0.0,0.44045294529422474
cent12CT,CBS_svr_nu0.25,Bnv,65,0.01935228758104488,0.015953764977822582,0.016574410189359446,0.017495043276522442,-0.0020095038472491035,0.12338850656477197
cent12CT,CBS_svr_nu0.25,CD4Tmem,65,0.028799417844461463,0.017551910341384303,0.03617137437511008,0.0276676908648569,-9.530647839053191e-05,0.014019653747981576
cent12CT,CBS_svr_nu0.25,CD4Tnv,65,0.03396707715855245,0.03699561829613867,0.022139334306996716,0.02325938306291756,0.002249661435013912,0.3883089732910472
cent12CT,CBS_svr_nu0.25,CD8Tmem,65,0.0360868766377336,0.026575766806504218,0.03261455995059942,0.02541231488672308,-0.003446817552657494,0.0074599190532618105
cent12CT,CBS_svr_nu0.25,CD8Tnv,65,0.004014574459865579,0.0037476832908049933,0.007356106042055474,0.007216626664545473,0.0,0.857018659920137
cent12CT,CBS_svr_nu0.25,Eos,65,0.0030519523932036807,0.0034103916747797646,0.011379661125127232,0.01869039644226036,0.0,0.8657723749926214
cent12CT,CBS_svr_nu0.25,Mono,65,0.031724965144230274,0.02308876795768353,0.032722536366282216,0.029776911336332257,-0.0020981024165263734,0.043463307121685675
cent12CT,CBS_svr_nu0.25,NK,65,0.030188254997912722,0.02275459866420094,0.027996021002518016,0.023690293911962156,-0.003963812889951842,0.0360493194843462
cent12CT,CBS_svr_nu0.25,Neu,65,0.790754868894395,0.8274631386863499,0.11704521559377082,0.09542759406362214,0.023767476431685863,0.010713958909483628
cent12CT,CBS_svr_nu0.25,Treg,65,0.011723148847381773,0.01374539329730839,0.00979752444246542,0.010816751441594639,0.0,0.19184739007114726
cent12CT,CBS_svr_nu0.5,Baso,65,0.007139425458493177,0.005043685332882554,0.00871441372048362,0.0070577072935402935,0.0,0.1095193391739717
cent12CT,CBS_svr_nu0.5,Bmem,65,0.004593017641775777,0.0038597767597723367,0.007272064249590017,0.005067881455863677,0.0,0.5997128237698808
cent12CT,CBS_svr_nu0.5,Bnv,65,0.012324425145464583,0.012246471304692695,0.01555758537547394,0.014838270000247759,0.0,0.9828264262248843
cent12CT,CBS_svr_nu0.5,CD4Tmem,65,0.024099236079456802,0.01543602604272768,0.030128772149748552,0.02174672185467924,0.0,0.013833008122015064
cent12CT,CBS_svr_nu0.5,CD4Tnv,65,0.025030731642500928,0.02841926057826073,0.017507595526070112,0.01816340278198925,0.0054012311328957355,0.2708371723449763
cent12CT,CBS_svr_nu0.5,CD8Tmem,65,0.038168820027866424,0.028895613884873793,0.034409091124271235,0.026846792251736782,-0.005972920688621826,0.020879929433453574
cent12CT,CBS_svr_nu0.5,CD8Tnv,65,0.010407113712940418,0.010274699426427999,0.011745060857386323,0.010583282971525903,0.0,0.8275520214395649
cent12CT,CBS_svr_nu0.5,Eos,65,0.002917015913074602,0.0031593966978485793,0.010098089685864607,0.017611153716665263,0.0,0.3862707203664827
cent12CT,CBS_svr_nu0.5,Mono,65,0.035830470379860424,0.02443753130919598,0.03435410362365082,0.02891608277686929,-0.003924196041599569,0.005942005513080834
cent12CT,CBS_svr_nu0.5,NK,65,0.029844283600909512,0.023683741060886592,0.02442409918319913,0.022282522582492952,-0.002848417449864929,0.023884445598757895
cent12CT,CBS_svr_nu0.5,Neu,65,0.7988748347312539,0.8345268082826212,0.11602087531354607,0.0903019719580217,0.024251729934603006,0.006365479020837648
cent12CT,CBS_svr_nu0.5,Treg,65,0.010770625666403496,0.010016989319809884,0.007951547345662094,0.00912496935078258,-0.002026729712739884,0.5468698707837281
cent12CT,CP_nnls_norm,Baso,65,0.014820415393119714,0.010949745583601274,0.00852898619502041,0.008461661804278077,-0.004048135420692971,0.0005544845784702928
cent12CT,CP_nnls_norm,Bmem,65,0.012104147901184316,0.009954771347459276,0.007274611742422975,0.006960500272501644,-0.0016181424731564996,0.023870054421138223
cent12CT,CP_nnls_norm,Bnv,65,0.02402770267401991,0.021118119311912202,0.01807407120663539,0.017024626961817217,-0.0019406799119686714,0.12514598090769338
cent12CT,CP_nnls_norm,CD4Tmem,65,0.038691437093228545,0.027185061005263515,0.031087298364435894,0.02672997135031045,-0.009900931222873999,0.0012437268025012693
cent12CT,CP_nnls_norm,CD4Tnv,65,0.029944944110187565,0.030563733083084407,0.020826724083484623,0.020236091237424616,0.0,0.9636514065785001
cent12CT,CP_nnls_norm,CD8Tmem,65,0.02681140704125623,0.018632148265674883,0.02982777501524757,0.02308390864528599,-0.001898865632687801,0.01088281700852047
cent12CT,CP_nnls_norm,CD8Tnv,65,0.0016349926871977697,0.0011605575286569218,0.00411327459958899,0.0025123655245913685,0.0,0.4593363573147894
cent12CT,CP_nnls_norm,Eos,65,0.005926577327586861,0.005014802803473822,0.013415087549209795,0.01804334487484127,0.0,0.09263052317984789
cent12CT,CP_nnls_norm,Mono,65,0.041091576403797084,0.029354003473697418,0.033061603076553994,0.028677225576021932,-0.0020693128420061283,0.013379732514095138
