gene,log2FC,t,p,s2,s2_post,fdr
AL117348.2,-0.7223812749999992,-15.00104214489686,5.527987775259777e-06,0.004637886254612914,0.00463788625519736,0.24778652403824425
L2HGDH,0.7253129250000008,12.761794258963334,1.4209230049829676e-05,0.006460369397671253,0.0064603693982344685,0.3107619498799298
AC063980.1,-0.5452551249999997,-10.492290376576465,4.4009096660439e-05,0.005401183169441231,0.005401183170016786,0.3107619498799298
CATG00000044399.1,0.28326165000000003,10.070423705612589,5.564701024427537e-05,0.0015823773926716578,0.0015823773932916992,0.3107619498799298
ELOVL3,0.46413427500000015,9.73881597316626,6.734149892070892e-05,0.004542604835599575,0.004542604836185131,0.3107619498799298
SLC35A5,0.28566157500000067,9.660008066832788,7.052488477023904e-05,0.0017489551396379156,0.0017489551402560162,0.3107619498799298
AC018931.1,0.3330728249999986,9.598690738218608,7.312258423926288e-05,0.0024081547862329186,0.00240815478684334,0.3107619498799298
CATG00000028653.1,0.9607137000000003,9.41013793777658,8.183239871382785e-05,0.02084615604301916,0.020846156043414787,0.3107619498799298
SIAE,0.9795510250000001,9.294816535952998,8.775026128241079e-05,0.022212757663046253,0.02221275766342596,0.3107619498799298
DCP1A,-0.4109791499999993,-9.179298510515848,9.418020923262479e-05,0.00400913414684166,0.00400913414743343,0.3107619498799298
AC106795.5,0.8443385250000004,9.126669346977707,9.728928030247304e-05,0.017117430504746227,0.017117430505185292,0.3107619498799298
C9ORF139,0.2912325000000031,9.12525101340975,9.737469648829799e-05,0.0020371360429166994,0.002037136043531443,0.3107619498799298
MTRNR2L10,-0.8102080249999997,-8.925321344545774,0.00011033155354357744,0.016480688621539587,0.01648068862198607,0.3107619498799298
CATG00000107233.1,0.9727718000000003,8.879985395027502,0.00011354048798958303,0.02400089500614666,0.024000895006505537,0.3107619498799298
AC010320.3,1.102659499999998,8.877597506095638,0.00011371247412461237,0.03085474351416664,0.030854743514445674,0.3107619498799298
G059150,0.7465472000000002,8.784510076742365,0.00012065776946657232,0.014444730610946649,0.014444730611416849,0.3107619498799298
CLCA2,0.66237455,8.770842533232262,0.00012171825013578583,0.01140655877412834,0.011406558774633934,0.3107619498799298
FKBP2,-0.3628475000000009,-8.652478709059656,0.00013136694953833663,0.003517200994583337,0.003517200995180838,0.3107619498799298
PSPN,-0.4286511749999997,-8.648272046427579,0.00013172579528196202,0.004913368615111244,0.00491336861569248,0.3107619498799298
OR6N2,0.36766025000000013,8.494637030423357,0.00014564173675247737,0.0037465686856249856,0.0037465686862198145,0.3264122604096523
AC079949.2,-0.6603924999999999,-8.203803977795683,0.00017691001048343187,0.01295996148560335,0.012959961486090849,0.35191485403001505
AGER,0.6453863999999996,8.164119720863958,0.00018175103494550888,0.01249829827788248,0.012498298278375357,0.35191485403001505
AC069061.2,-0.3978452999999993,-8.086573435827082,0.00019165890405250223,0.0048409365415166645,0.004840936542098745,0.35191485403001505
AL513329.1,1.5409366250000005,7.9914401254259015,0.00020467668335513985,0.0743617241948644,0.0743617241946366,0.35191485403001505
DLGAP1-AS2,-0.16611075000000142,-7.936981146157891,0.00021258671194857216,0.0008760215224583173,0.0008760215230865871,0.35191485403001505
LINC00589,0.3427826750000005,7.757541982284065,0.00024125845565992724,0.003904985752109586,0.0039049857527025697,0.35191485403001505
PCSK7,0.40409099999999754,7.729441713429079,0.0002461411072027665,0.0054662828233333375,0.005466282823908133,0.35191485403001505
CELA2B,0.41888927499999973,7.707696540355766,0.00024999775561327606,0.005907167183427921,0.005907167183997581,0.35191485403001505
CACUL1,1.1281100249999998,7.702359091957056,0.00025095500174941184,0.042902775505292944,0.04290277550543162,0.35191485403001505
XLOC_L2_009508,0.996067075,7.6953970672517364,0.00025220996261969065,0.033507737009602946,0.033507737009851074,0.35191485403001505
XLOC_005619,0.29810337500000017,7.688233140880391,0.0002535088734042623,0.0030068425846912395,0.003006842585294686,0.35191485403001505
XLOC_000974,-0.7112659999999997,-7.654421872253169,0.0002597442799369383,0.01726908409692917,0.01726908409736647,0.35191485403001505
G040460,0.5899795499999998,7.513079608781686,0.00028779772116109363,0.01233297726513581,0.012332977265630611,0.35191485403001505
AP002884.1,1.0090623249999995,7.5030880133699345,0.000289909478316798,0.036173113966624544,0.03617311396684162,0.35191485403001505
AC108477.1,0.5251325000000002,7.496033228366415,0.0002914112804599238,0.009815327254436674,0.009815327254960806,0.35191485403001505
SLCO3A1,0.8939994750000002,7.49206045083106,0.0002922609360738919,0.02847750766305954,0.028477507663366267,0.35191485403001505
CRTC3,-0.20880227500000004,-7.488414153820099,0.0002930432790716612,0.0015549654254795823,0.0015549654260999428,0.35191485403001505
