gene,is_published_anchor,is_immune_set,log2FC,t,p,fdr
TMIGD3,True,False,-0.9001820999999994,-4.467494887923455,0.0042487985309533636,0.4783069503442497
ADORA3,True,False,-0.8227108750000003,-2.664278075467524,0.037310348402763586,0.5210588623343247
COL13A1,True,False,0.35314349999999806,2.0590949386243196,0.08516306657321923,0.6004987251704027
SPATA13,True,False,0.28334299999999946,1.7526394208535983,0.13021434684156125,0.6444515480895271
MAPK14,False,True,0.27365574999999964,5.735681965066725,0.001220110305185973,0.4783069503442497
NOS2,False,True,0.35898707499999993,4.708613592566335,0.003296614640797227,0.4783069503442497
SOCS3,False,True,-0.3174028499999988,-3.736261564112028,0.00966499116943063,0.4783069503442497
TLR9,False,True,-0.47802030000000073,-3.6873992657856305,0.010240292521870578,0.4783069503442497
TLR7,False,True,0.7967020500000004,3.4748578591655703,0.013225173232094291,0.4783069503442497
IFNGR1,False,True,0.5579466249999996,3.461674421478101,0.013439758562227531,0.47851834454920605
IL6R,False,True,0.8121222500000016,3.354888272990227,0.015326298517909471,0.47851834454920605
TNFRSF1A,False,True,-0.3008260000000007,-3.1319543995171752,0.02027416161324884,0.48209053465963964
JUN,False,True,0.9852659499999987,2.885492692399199,0.027857069382402625,0.4979624910269725
IRF7,False,True,-0.3273576250000012,-2.776369650011242,0.032150769674471176,0.5085459037202783
FCGR2A,False,True,0.669849000000001,2.5063459455810473,0.04613057586176119,0.5378358344173557
PYCARD,False,True,-0.5052062499999987,-2.485475119016362,0.047452089852559456,0.5384720037524394
IL6,False,True,0.7129511000000002,2.4509807984023184,0.049724487978762444,0.5400483869975645
IRF3,False,True,-0.3024799000000007,-2.295858161715501,0.0614484046494946,0.5636102496437376
RELA,False,True,-0.4872209999999999,-2.2831024905344273,0.06253295445939058,0.5666323244134883
HLA-DRA,False,True,-0.7011474999999994,-2.2503274559021023,0.06541175700473141,0.5725463389952073
TLR6,False,True,0.4985798750000008,2.14403670905252,0.07572712040504069,0.5904318046678629
TLR4,False,True,0.24152624999999972,2.1137280384914527,0.0789648862964148,0.5944222898313852
HLA-DQA1,False,True,0.42044639999999944,1.9093145487853895,0.10480748012924734,0.628440699840281
IRF8,False,True,-0.5176487500000011,-1.8385108337102902,0.11561651119027198,0.6444161275295638
MYD88,False,True,-0.2770802500000009,-1.7423888232935103,0.13207342701657512,0.6444515480895271
CD68,False,True,-0.20400490000000016,-1.5597818980959774,0.16982889694053732,0.6444515480895271
MAPK8,False,True,0.48150775000000046,1.5125577009102646,0.18115245313684541,0.6444515480895271
IL18,False,True,0.19448625000000064,1.5030123505944895,0.18352574959637727,0.6444515480895271
CEBPB,False,True,0.28053800000000173,1.4115414537212312,0.2077797850908457,0.6444515480895271
MAP3K7,False,True,-0.3075183500000005,-1.3979002522998794,0.21163980207412422,0.6444515480895271
CCL4,False,True,0.12032800000000066,1.3519131405773792,0.22513843903246683,0.6444515480895271
TNIP1,False,True,-0.1460822499999992,-1.3275972042551738,0.23258594467904636,0.6444515480895271
RELB,False,True,0.07066999999999979,1.3160727183931868,0.23619225238330083,0.6444515480895271
FCGR1A,False,True,0.5329287499999982,1.3117122227886058,0.23756974114874604,0.6444515480895271
NFKB1,False,True,0.18227739999999937,1.244693639166857,0.2596561955343941,0.6444515480895271
CCL3,False,True,0.211294399999999,1.2189057957506546,0.2686233868009509,0.6444515480895271
CCL5,False,True,0.2714298750000008,1.2049758613734631,0.27357821506081825,0.6444515480895271
CXCL8,False,True,1.3069753000000013,1.1851439909413688,0.28076835826743496,0.6444515480895271
