cluster,sample,n_cells,frac_of_cluster
0,LC1_post,544,0.2455981941309255
1,LC1_post,278,0.0546276282177245
2,LC1_post,77,0.03225806451612903
3,LC1_post,423,0.09364622537082135
4,LC1_post,82,0.031648012350443844
5,LC1_post,216,0.03877917414721724
6,LC1_post,239,0.03942593203563181
7,LC1_post,60,0.04713275726630008
8,LC1_post,473,0.05931034482758621
9,LC1_post,455,0.0668626010286554
10,LC1_post,106,0.02967525195968645
11,LC1_post,67,0.01737551867219917
0,MY2_post,161,0.072686230248307
1,MY2_post,450,0.08842601689919434
2,MY2_post,58,0.024298282362798494
3,MY2_post,453,0.10028780163825549
4,MY2_post,675,0.26051717483597064
5,MY2_post,325,0.05834829443447038
6,MY2_post,128,0.02111514351699109
7,MY2_post,122,0.09583660644147683
8,MY2_post,1274,0.15974921630094044
9,MY2_post,682,0.10022042615723732
10,MY2_post,93,0.026035834266517358
11,MY2_post,2190,0.5679460580912863
0,MY2_pre,100,0.045146726862302484
1,MY2_pre,235,0.04617803104735704
2,MY2_pre,79,0.03309593632174277
3,MY2_pre,349,0.07726367057781713
4,MY2_pre,80,0.030876109610189117
5,MY2_pre,812,0.14578096947935368
6,MY2_pre,311,0.051303200263939294
7,MY2_pre,41,0.03220738413197172
8,MY2_pre,644,0.08075235109717868
9,MY2_pre,1539,0.22615723732549595
10,MY2_pre,23,0.006438969764837626
11,MY2_pre,216,0.056016597510373446
0,WSY1_post,763,0.344469525959368
1,WSY1_post,762,0.14973472194930243
2,WSY1_post,682,0.2857142857142857
3,WSY1_post,1467,0.3247730794775293
4,WSY1_post,1127,0.4349671941335392
5,WSY1_post,1048,0.1881508078994614
6,WSY1_post,1456,0.24018475750577367
7,WSY1_post,140,0.10997643362136685
8,WSY1_post,1320,0.16551724137931034
9,WSY1_post,528,0.07759000734753857
10,WSY1_post,214,0.059910414333706606
11,WSY1_post,961,0.24922199170124482
0,WSY1_pre,267,0.12054176072234762
1,WSY1_pre,1366,0.2684220868539988
2,WSY1_pre,858,0.35944700460829493
3,WSY1_pre,597,0.13216736772193935
4,WSY1_pre,139,0.05364724044770359
5,WSY1_pre,1796,0.32244165170556555
6,WSY1_pre,2499,0.4122401847575058
7,WSY1_pre,705,0.5538098978790259
8,WSY1_pre,1042,0.13065830721003135
9,WSY1_pre,1850,0.2718589272593681
10,WSY1_pre,1018,0.28499440089585665
11,WSY1_pre,194,0.050311203319502076
0,WXY1_post,174,0.07855530474040633
1,WXY1_post,1211,0.23796423658872076
2,WXY1_post,205,0.08588186007540846
3,WXY1_post,313,0.06929377905689617
4,WXY1_post,172,0.0663836356619066
5,WXY1_post,796,0.14290843806104128
6,WXY1_post,280,0.046189376443418015
7,WXY1_post,4,0.003142183817753339
8,WXY1_post,2580,0.32351097178683386
9,WXY1_post,1192,0.175165319617928
10,WXY1_post,430,0.12038073908174692
11,WXY1_post,125,0.03241701244813278
0,WXY1_pre,206,0.09300225733634311
1,WXY1_pre,787,0.1546472784437021
2,WXY1_pre,428,0.1793045664013406
3,WXY1_pre,915,0.2025680761567412
4,WXY1_pre,316,0.121960632960247
5,WXY1_pre,577,0.10359066427289049
6,WXY1_pre,1149,0.18954140547674034
7,WXY1_pre,201,0.15789473684210525
8,WXY1_pre,642,0.08050156739811912
9,WXY1_pre,559,0.08214548126377663
10,WXY1_pre,1688,0.47256438969764836
11,WXY1_pre,103,0.02671161825726141
