term,perturbagen,cell_line,time,dose,n_up,n_down,k_downNdisUP,k_upNdisDOWN,p_rev_up,p_rev_down,or_rev_up,or_rev_down,reversal_score,mimic_score,net_score,p_combined,directional,fdr,z_vs_null,emp_p,library
CPC001 HA1E 24H-hemado-10.0,hemado,HA1E,24H,10.0,74,46,0,0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0,1.0,False,1.0,-0.5657980364905775,1.0,chem
CPC001 HA1E 24H-ici-89406-10.0,ici-89406,HA1E,24H,10.0,40,56,1,0,0.20253482817430737,1.0,4.649454545454545,0.0,0.6935002841365968,-0.0,0.6935002841365968,0.5259512351037625,True,1.0,0.8501149967537601,0.1809396867710763,chem
CPC001 HA1E 24H-n-benzylnaltrindole hydrochloride-10.0,n-benzylnaltrindole hydrochloride,HA1E,24H,10.0,110,101,0,0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0,1.0,False,1.0,-0.5657980364905775,1.0,chem
CPC001 HA1E 24H-cilnidipine-10.0,cilnidipine,HA1E,24H,10.0,11,50,0,0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0,1.0,False,1.0,-0.5657980364905775,1.0,chem
CPC001 HA1E 24H-norketamine hydrochloride-10.0,norketamine hydrochloride,HA1E,24H,10.0,72,53,0,0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0,1.0,False,1.0,-0.5657980364905775,1.0,chem
CPC001 HA1E 24H-sdz 21009-10.0,sdz 21009,HA1E,24H,10.0,60,13,0,0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0,1.0,False,1.0,-0.5657980364905775,1.0,chem
CPC001 HA1E 24H-brefeldin a-10.0,brefeldin a,HA1E,24H,10.0,102,211,1,0,0.5781906911142227,1.0,1.1881904761904762,0.0,0.23792890476198866,0.8171635172767224,-0.5792346125147337,0.8949533570304582,True,1.0,-0.0800208206131938,0.3112295901366211,chem
CPC001 HA1E 24H-trichostatin a-10.0,trichostatin a,HA1E,24H,10.0,198,200,1,2,0.5584595977213203,0.10339922586312482,1.2560804020100502,3.99234693877551,1.2384909535874056,0.25588073396585614,0.9826102196215494,0.22241546106140092,True,1.0,1.9628173409678906,0.058647117627457515,chem
CPC001 HA1E 24H-geldanamycin-10.0,geldanamycin,HA1E,24H,10.0,122,166,1,0,0.49170192691608877,1.0,1.5231515151515151,0.0,0.30829808976274736,-0.0,0.30829808976274736,0.8407525621821896,True,1.0,0.06365128516741615,0.3055648117294235,chem
CPC001 HA1E 24H-vinblastine sulfate-10.0,vinblastine sulfate,HA1E,24H,10.0,140,175,0,1,1.0,0.3256749708543354,0.0,2.673296656792213,0.48721561704929883,0.4091934932335874,0.07802212381571144,0.6910352010532892,True,1.0,0.4289455244859679,0.2619126957680773,chem
CPC001 HA1E 24H-taxol-10.0,taxol,HA1E,24H,10.0,112,116,0,1,1.0,0.26987631286244124,0.0,3.3624801271860094,0.5688352319480254,0.5557893343448462,0.013045897603179202,0.6233580203702593,True,1.0,0.5955875275925274,0.2315894701766078,chem
CPC001 HA1E 24H-dpn-10.0,dpn,HA1E,24H,10.0,47,18,0,0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0,1.0,False,1.0,-0.5657980364905775,1.0,chem
CPC001 HA1E 24H-genistin-10.0,genistin,HA1E,24H,10.0,76,98,1,2,0.32790609287527117,0.018427217002475182,2.6189690721649486,10.780405405405405,2.218790763351609,-0.0,2.218790763351609,0.03691272691211155,True,1.0,3.9642862788792206,0.006331222925691436,chem
CPC001 HA1E 24H-cyclosporine-10.0,cyclosporine,HA1E,24H,10.0,122,133,0,0,1.0,1.0,0.0,0.0,-0.0,0.9137343130855491,-0.9137343130855491,1.0,False,1.0,-0.5657980364905775,1.0,chem
CPC001 HA1E 24H-estradiol valerate-10.0,estradiol valerate,HA1E,24H,10.0,107,90,1,1,0.3055889997807604,0.2594643221145999,2.857977528089888,3.5238623751387346,1.100784634797722,-0.0,1.100784634797722,0.28026045159494856,True,1.0,1.681663639960887,0.07364211929356881,chem
CPC001 HA1E 24H-lfm-a12-10.0,lfm-a12,HA1E,24H,10.0,62,79,0,1,1.0,0.15923366916048404,0.0,6.166827386692382,0.7979650974991642,-0.0,0.7979650974991642,0.451806832374428,True,1.0,1.0633998275446332,0.13962012662445852,chem
CPC001 HA1E 24H-ro 60-0175-10.0,ro 60-0175,HA1E,24H,10.0,42,39,0,0,1.0,1.0,0.0,0.0,-0.0,0.9863854370713357,-0.9863854370713357,1.0,False,1.0,-0.5657980364905775,1.0,chem
CPC001 HA1E 24H-kf 38789-10.0,kf 38789,HA1E,24H,10.0,95,94,0,0,1.0,1.0,0.0,0.0,-0.0,0.49536710861879296,-0.49536710861879296,1.0,False,1.0,-0.5657980364905775,1.0,chem
CPC001 HA1E 24H-lobelanidine hydrochloride-10.0,lobelanidine hydrochloride,HA1E,24H,10.0,85,60,2,1,0.023802039684718376,0.21196287520080873,9.181034482758621,4.46218487394958,2.2971260231181097,-0.0,2.2971260231181097,0.03173059609983418,True,1.0,4.124222644880943,0.004665111629456847,chem
CPC001 HA1E 24H-fluticasone propionate-10.0,fluticasone propionate,HA1E,24H,10.0,20,58,0,0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0,1.0,False,1.0,-0.5657980364905775,1.0,chem
CPC001 HA1E 24H-rimcazole dihydrochloride-10.0,rimcazole dihydrochloride,HA1E,24H,10.0,87,20,1,1,0.07743881863633138,0.21639730745761476,13.534736842105263,4.357045143638851,1.7757894282837243,0.5271883160897466,1.2486011121939777,0.08527761058759332,True,1.0,3.0598146032141083,0.019326891036321226,chem
CPC001 HA1E 24H-clobetasol propionate-10.0,clobetasol propionate,HA1E,24H,10.0,46,54,0,0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0,1.0,False,1.0,-0.5657980364905775,1.0,chem
CPC001 HA1E 24H-ginsenoside-rc-10.0,ginsenoside-rc,HA1E,24H,10.0,69,62,1,0,0.22173067173433159,1.0,4.188196721311475,0.0,0.654174227302204,-0.0,0.654174227302204,0.5557217696993249,True,1.0,0.7698233549309331,0.2015994668443852,chem
CPC001 HA1E 24H-bw-b 70c-10.0,bw-b 70c,HA1E,24H,10.0,47,57,0,0,1.0,1.0,0.0,0.0,-0.0,0.7622425527905643,-0.7622425527905643,1.0,False,1.0,-0.5657980364905775,1.0,chem
CPC001 HA1E 24H-wortmannin-10.0,wortmannin,HA1E,24H,10.0,136,100,0,0,1.0,1.0,0.0,0.0,-0.0,0.37178853246535365,-0.37178853246535365,1.0,False,1.0,-0.5657980364905775,1.0,chem
CPC001 HA1E 24H-pd 166793-10.0,pd 166793,HA1E,24H,10.0,67,62,0,0,1.0,1.0,0.0,0.0,-0.0,0.6245429220468399,-0.6245429220468399,1.0,False,1.0,-0.5657980364905775,1.0,chem
CPC001 HA1E 24H-fr 139317-10.0,fr 139317,HA1E,24H,10.0,44,54,1,0,0.19603564821290864,1.0,4.826415094339622,0.0,0.7076649469372981,-0.0,0.7076649469372981,0.5154676520054673,True,1.0,0.8790348560959862,0.17560813062312564,chem
