perturbagen,n_signatures,n_cell_lines,median_net,max_net,min_fdr,median_z,frac_directional,n_sig_fdr05,rank_percentile
nupl2,1,1,11.162776469312021,11.162776469312021,5.814146692904535e-08,23.637979897212045,1.0,1,99.98080614203455
hla-dpa1,1,1,8.720146563785079,8.720146563785079,2.2103519857881546e-07,21.821050680669835,1.0,1,99.9616122840691
pde4a,1,1,8.494626023483894,8.494626023483894,4.157448639234815e-06,18.371080319016027,1.0,1,99.94241842610366
itgb4,1,1,8.460200099102975,8.460200099102975,4.244451345284931e-07,20.87147202844554,1.0,1,99.9232245681382
epcam,1,1,8.146586180362824,8.146586180362824,1.8223954997959932e-05,16.230768945413143,1.0,1,99.90403071017275
cda,1,1,7.807322084849986,7.807322084849986,5.064679093031867e-05,14.929357734644157,1.0,1,99.88483685220729
emb,1,1,7.651265309316003,7.651265309316003,4.157448639234815e-06,18.093510781602745,1.0,1,99.86564299424184
plk5,1,1,7.651265309316003,7.651265309316003,4.157448639234815e-06,18.093510781602745,1.0,1,99.84644913627639
mpz,1,1,7.513835694065467,7.513835694065467,1.8223954997959932e-05,16.454369479760164,1.0,1,99.82725527831094
adra2a,1,1,7.457755157967067,7.457755157967067,1.8223954997959932e-05,16.307621696700508,1.0,1,99.80806142034548
cdc25a,1,1,7.213072411081506,7.213072411081506,1.8223954997959932e-05,16.15459118238415,1.0,1,99.78886756238003
cilp2,1,1,6.893857386396658,6.893857386396658,0.00011349099199461342,13.988847871594674,1.0,1,99.76967370441459
atg16l1,1,1,6.89163014013818,6.89163014013818,0.00011349099199461342,13.984415467667706,1.0,1,99.75047984644914
il4r,1,1,6.81133852133353,6.81133852133353,4.157448639234815e-06,18.05306379493261,1.0,1,99.73128598848369
prm3,1,1,6.704298271855977,6.704298271855977,1.8223954997959932e-05,16.233019021533657,1.0,1,99.71209213051824
mcm2,1,1,6.6973922669513,6.6973922669513,0.0002489219089482031,12.720505765632048,1.0,1,99.69289827255278
mcoln2,1,1,6.446493025871954,6.446493025871954,0.00014408153029998977,13.454296207361216,1.0,1,99.67370441458733
oip5,1,1,6.2896807789196405,6.2896807789196405,5.064679093031867e-05,14.939910714397968,1.0,1,99.65451055662187
scn7a,1,1,6.289259891370734,6.289259891370734,0.0004392511837346493,11.912914582937734,1.0,1,99.63531669865642
cdon,1,1,6.283314656019097,6.283314656019097,0.0001869936161642502,13.126291410801425,1.0,1,99.61612284069098
slc29a4,1,1,6.243892216316106,6.243892216316106,0.00011349099199461342,13.857496221180433,1.0,1,99.59692898272553
kras-2a,1,1,6.200281411974125,6.200281411974125,0.0004392511837346493,11.722130773373014,1.0,1,99.57773512476008
dmpk,1,1,6.167750147872162,6.167750147872162,0.0002589660280766441,12.517522024517966,1.0,1,99.55854126679462
ogt,1,1,6.070286851709178,6.070286851709178,0.00014408153029998977,13.555163944212905,1.0,1,99.53934740882917
oas3,1,1,6.057696607610668,6.057696607610668,0.00014408153029998977,13.521389598222676,1.0,1,99.52015355086372
igsf6,1,1,6.057696607610668,6.057696607610668,0.00014408153029998977,13.521389598222676,1.0,1,99.50095969289828
plxnc1,1,1,6.056872931781993,6.056872931781993,0.0004392511837346493,11.817941115667384,1.0,1,99.48176583493282
mapk1,1,1,6.018314710972758,6.018314710972758,0.0004392511837346493,11.732379739895073,1.0,1,99.46257197696737
egr4,1,1,6.018200263020241,6.018200263020241,0.0004392511837346493,11.730129663774559,1.0,1,99.44337811900192
spr,1,1,6.007874516829343,6.007874516829343,0.00014500210974849114,13.38780151451869,1.0,1,99.42418426103646
ern2,1,1,6.004443737169943,6.004443737169943,0.0004392511837346493,11.70051660835863,1.0,1,99.40499040307101
wasl,1,1,5.987116455097847,5.987116455097847,0.0004392511837346493,11.661801932531006,1.0,1,99.38579654510556
ccr3,1,1,5.901691841163936,5.901691841163936,0.0004392511837346493,11.763243880854306,1.0,1,99.36660268714012
alas1,1,1,5.792930805863912,5.792930805863912,0.0005469581619411296,11.29018214778187,1.0,1,99.34740882917467
rab31,1,1,5.741819242485333,5.741819242485333,0.0002489219089482031,12.760301785483243,1.0,1,99.32821497120922
kras-2b,1,1,5.715571697809901,5.715571697809901,0.00044092092768477945,11.612471267966727,1.0,1,99.30902111324377
dyrk1b,1,1,5.690441522515455,5.690441522515455,0.0004387609378604505,11.998361231810554,1.0,1,99.28982725527831
ccl22,1,1,5.6886259500610095,5.6886259500610095,0.00011349099199461342,13.857496221180433,1.0,1,99.27063339731286
syn1,1,1,5.6303243604682445,5.6303243604682445,0.0002505197115430747,12.67088354425536,1.0,1,99.2514395393474
pam,1,1,5.630016086556646,5.630016086556646,0.0004392511837346493,11.862209855554072,1.0,1,99.23224568138195
slc25a13,1,1,5.624615048102273,5.624615048102273,0.0002568536293398049,12.546870111871598,1.0,1,99.2130518234165
ifna1,1,1,5.617009089211802,5.617009089211802,0.0002511212121699468,12.635710383475374,1.0,1,99.19385796545106
enc1,1,1,5.613100143781624,5.613100143781624,0.0010069129972903538,10.553591574318517,1.0,1,99.1746641074856
padi6,1,1,5.6079446028680575,5.6079446028680575,0.0004392511837346493,11.641688495486205,1.0,1,99.15547024952015
gck,1,1,5.577758953864071,5.577758953864071,0.0004392511837346493,11.723460826557845,1.0,1,99.1362763915547
shroom3,1,1,5.566948187891428,5.566948187891428,0.0002589660280766441,12.501819647845913,1.0,1,99.11708253358925
rps6kb1,1,1,5.547819188910077,5.547819188910077,0.00024095286978323288,12.844631155582512,1.0,1,99.0978886756238
ctsc,1,1,5.503764521302758,5.503764521302758,0.0005584943246519212,11.201341876178095,1.0,1,99.07869481765836
f8,1,1,5.4916333548175515,5.4916333548175515,0.0005704901301854421,11.171993788824462,1.0,1,99.0595009596929
ccdc51,1,1,5.368548565797989,5.368548565797989,0.00011349099199461342,13.955225715084188,1.0,1,99.04030710172745
casp3,1,1,5.31874565128286,5.31874565128286,0.00014408153029998977,13.48776744171219,1.0,1,99.02111324376199
fes,1,1,5.300656903569395,5.300656903569395,0.00064916844594664,11.042826154592971,1.0,1,99.00191938579654
cd70,1,1,5.186052856009362,5.186052856009362,0.0004392511837346493,11.679020580162023,1.0,1,98.9827255278311
krt5,1,1,5.1576093830654575,5.1576093830654575,0.00044092092768477945,11.616985181293183,1.0,1,98.96353166986565
apold1,1,1,5.1546104022882115,5.1546104022882115,0.0004392511837346493,11.698280175068884,1.0,1,98.9443378119002
dnmt3a,1,1,5.153378136638503,5.153378136638503,0.0004392511837346493,11.774736311030983,1.0,1,98.92514395393474
prr5l,1,1,5.151504995514814,5.151504995514814,0.0019892841547368163,9.632742688517247,1.0,1,98.90595009596929
park7,1,1,5.149250561699153,5.149250561699153,0.002220327525561548,9.160797905734992,1.0,1,98.88675623800384
lrriq3,1,1,5.081526720835393,5.081526720835393,0.0018948979418814825,9.8734562412262,1.0,1,98.8675623800384
bcat2,1,1,5.014915294054256,5.014915294054256,0.0009865184108273249,10.626674306026844,1.0,1,98.84836852207293
ccl24,1,1,4.986609832704822,4.986609832704822,0.0010069129972903538,10.558303788123508,1.0,1,98.82917466410748
mdfic,1,1,4.9837991853734875,4.9837991853734875,0.0005289175084646578,11.410534859833186,1.0,1,98.80998080614204
il17ra,1,1,4.975951045040299,4.975951045040299,0.0019892841547368163,9.651962734374024,1.0,1,98.79078694817657
nxpe1,1,1,4.9502321452198155,4.9502321452198155,0.002220327525561548,9.238943446759952,1.0,1,98.77159309021113
p2ry14,1,1,4.949163665788583,4.949163665788583,0.002220327525561548,9.134986188456473,1.0,1,98.75239923224568
cfh,1,1,4.946927413247298,4.946927413247298,1.8223954997959932e-05,16.226309604850183,1.0,1,98.73320537428023
dscaml1,1,1,4.940892296157191,4.940892296157191,0.0005469581619411296,11.29018214778187,1.0,1,98.71401151631478
bcl3,1,1,4.935114713188144,4.935114713188144,0.0005469581619411296,11.278684280699183,1.0,1,98.69481765834934
cs,1,1,4.926262202357977,4.926262202357977,0.002220327525561548,9.186727368275239,1.0,1,98.67562380038389
c15orf48,1,1,4.926262202357977,4.926262202357977,0.002220327525561548,9.186727368275239,1.0,1,98.65642994241843
abcc8,1,1,4.919716492004552,4.919716492004552,0.0005526094518641828,11.230821901696887,1.0,1,98.63723608445298
cdkl2,1,1,4.902287493071943,4.902287493071943,0.0020959788379846106,9.522782637613435,1.0,1,98.61804222648752
ctsh,1,1,4.8887771874462596,4.8887771874462596,0.002139365834466514,9.491567854061058,1.0,1,98.59884836852207
orai1,1,1,4.777206421515098,4.777206421515098,0.002220327525561548,9.265232052238035,1.0,1,98.57965451055662
ms4a6e,1,1,4.763409381542022,4.763409381542022,0.0005469581619411296,11.320064592911693,1.0,1,98.56046065259117
naf1,1,1,4.762963095291108,4.762963095291108,0.0001869936161642502,13.102355629266786,1.0,1,98.54126679462571
lepr,1,1,4.722047846349842,4.722047846349842,0.00011349099199461342,13.957462148373933,1.0,1,98.52207293666027
ticam2,1,1,4.713150495455475,4.713150495455475,2.4360735823590952e-05,15.761074238751396,1.0,1,98.50287907869482
adcy5,1,1,4.713150495455475,4.713150495455475,2.4360735823590952e-05,15.761074238751396,1.0,1,98.48368522072937
nrip3,1,1,4.700331814700213,4.700331814700213,0.0019892841547368163,9.60244446182847,1.0,1,98.46449136276392
akr1c3,1,1,4.6952468608862965,4.6952468608862965,2.4774207044969708e-05,15.68713290901215,1.0,1,98.44529750479848
csnk1a1,1,1,4.690101480066733,4.690101480066733,0.0002511212121699468,12.586960258604009,1.0,1,98.42610364683301
cdk9,1,1,4.676851963584447,4.676851963584447,0.0036088422113573423,8.593063420098565,1.0,1,98.40690978886755
btn3a2,1,1,4.660755057458103,4.660755057458103,0.0036516426050795764,8.555001991095898,1.0,1,98.3877159309021
vhll,1,1,4.6429217420525815,4.6429217420525815,0.003546147853637183,8.62737037413185,1.0,1,98.36852207293666
pak2,1,1,4.617402130881028,4.617402130881028,0.003640282416770136,8.572070327776348,1.0,1,98.34932821497121
ckmt1b,1,1,4.6101476907802805,4.6101476907802805,0.002220327525561548,9.422970609985018,1.0,1,98.33013435700576
vcam1,1,1,4.607857906410641,4.607857906410641,0.0036617179762457285,8.548617192584086,1.0,1,98.31094049904031
mylk,1,1,4.601324837438973,4.601324837438973,0.002220327525561548,9.160797905734992,1.0,1,98.29174664107485
atp4a,1,1,4.600316045579188,4.600316045579188,0.0019892841547368163,9.786278860460447,1.0,1,98.2725527831094
imp3,1,1,4.590748403735128,4.590748403735128,0.0009936435929398778,10.610760287931539,1.0,1,98.25335892514396
