term,perturbagen,cell_line,time,dose,n_up,n_down,k_downNdisUP,k_upNdisDOWN,p_rev_up,p_rev_down,or_rev_up,or_rev_down,reversal_score,mimic_score,net_score,p_combined,directional,fdr,z_vs_null,emp_p,library
A1BG,a1bg,,,,243,248,4,1,0.020257459320281435,0.5777156020537463,4.169398907103825,1.1834969008264462,1.9317009280853583,1.080823967525589,0.8508769605597692,0.06375711519193494,True,0.15367927038777102,2.757608506735751,0.021992669110296566,crispr_ko
A1CF,a1cf,,,,245,247,1,0,0.6545034270279639,1.0,0.9541380029184907,0.0,0.18408807510950112,0.8569430082793595,-0.6728549331698584,0.9319333301345628,False,0.9459021775672874,-0.7202853466564754,0.8320559813395535,crispr_ko
A2M,a2m,,,,242,246,4,0,0.01972657432820157,1.0,4.2047750229568415,0.0,1.7049483267868892,0.6734725489313129,1.0314757778555763,0.09716893497416734,True,0.19024962024243433,2.3063521103583904,0.03865378207264245,crispr_ko
AADACL2,aadacl2,,,,243,247,2,3,0.28160566201117104,0.05215366588419932,1.966702470461869,3.8195833333333336,1.8330737770239023,2.3933086017180822,-0.56023482469418,0.07667679900937972,True,0.17747313058285114,2.5613323338579113,0.023658780406531157,crispr_ko
AADAT,aadat,,,,239,247,2,1,0.28160566201117104,0.5716016791557766,1.966702470461869,1.2039128151260505,0.7932651215252047,3.0116503957744225,-2.2183852742492176,0.4549808894619145,True,0.5754780024749325,0.4920272669462098,0.24191936021326224,crispr_ko
AAK1,aak1,,,,242,247,5,4,0.0036678346599069577,0.009615394368516172,5.406139315230225,5.313822080556361,4.452623148641156,0.42294627287949627,4.02967687576166,0.00039685107317519104,True,0.006230427569745265,7.774451842959494,0.0003332222592469177,crispr_ko
AAMP,aamp,,,,241,246,0,1,1.0,0.5746692931650028,0.0,1.1936197916666667,0.24058200830441262,3.3167749014998167,-3.076192893195404,0.8930134085556121,True,0.9390241936194845,-0.6078577556840438,0.5894701766077974,crispr_ko
AASS,aass,,,,246,242,6,2,0.0004929217604364867,0.21209354498352753,6.852442671984048,2.422792173453199,3.980694558066326,1.2369412117934249,2.7437533462729014,0.0010627980782045565,True,0.011785752305536487,6.83527498716709,0.0003332222592469177,crispr_ko
AATK,aatk,,,,244,245,0,2,1.0,0.2095196047577794,0.0,2.443348440415889,0.6787753338443617,0.18711672178368574,0.49165861206067596,0.5369857494878482,True,0.6455400220256764,0.26418313763956547,0.30856381206264577,crispr_ko
ABAT,abat,,,,243,246,1,1,0.6529937194772887,0.5777156020537463,0.9581371009942439,1.1834969008264462,0.42337689931184885,4.442629006948246,-4.0192521076363965,0.7450058932271147,True,0.8077100203612863,-0.2440808317596653,0.4828390536487837,crispr_ko
ABCA1,abca1,,,,248,245,3,0,0.08461079867902582,1.0,3.0683493410766136,0.0,1.0725742054311245,0.7839434237469435,0.288630781684181,0.2935735277616986,True,0.426094465801719,1.0478754025666863,0.14028657114295234,crispr_ko
ABCA6,abca6,,,,245,246,2,2,0.28002356105637266,0.21080611613546152,1.9749784296807593,2.433028010088942,1.2289222188328124,0.18610052512364508,1.0428216937091672,0.2260696734890566,True,0.34157050579213477,1.3590208567065385,0.10963012329223593,crispr_ko
ABCA7,abca7,,,,243,242,1,5,0.6468903087705561,0.0014275787539872488,0.97446536865624,6.879501800720288,3.034569279165468,2.4659688357527827,0.5686004434126852,0.007376216459790738,True,0.03867690159801743,4.9524075738122635,0.0026657780739753416,crispr_ko
ABCA8,abca8,,,,242,243,0,0,1.0,1.0,0.0,0.0,-0.0,0.801020075666986,-0.801020075666986,1.0,False,1.0,-1.086635813704102,1.0,crispr_ko
ABCA9,abca9,,,,248,248,2,4,0.2831876279456489,0.01045682627569123,1.9584937954642705,5.17976257772753,2.528525831325488,2.660753398456846,-0.13222756713135775,0.020202037405814045,True,0.07674418291479795,3.9453393356752047,0.005664778407197601,crispr_ko
ABCB1,abcb1,,,,248,245,2,1,0.278441351929783,0.5852391029747436,1.9833225037903401,1.158906882591093,0.7879329302802777,1.9986848193745002,-1.2107518890942224,0.4586007686366784,True,0.5754780024749325,0.48141576616429166,0.26491169610129955,crispr_ko
ABCB11,abcb11,,,,245,245,1,3,0.6514775806219191,0.05320847236940902,0.9621689785624212,3.7871900826446283,1.460119734739794,1.0725742054311245,0.3875455293086696,0.15120665227019772,True,0.2799030485294036,1.8191230001093206,0.048983672109296904,crispr_ko
ABCB9,abcb9,,,,245,245,1,7,0.6514775806219191,1.7466633368138307e-05,0.9621689785624212,10.372171945701357,4.943891320801235,3.126822830813656,1.8170684899875793,0.00014091595551193027,True,0.003249796283753011,8.752116062705522,0.0003332222592469177,crispr_ko
ABCC1,abcc1,,,,244,246,1,0,0.6529937194772887,1.0,0.9581371009942439,0.0,0.18509099576853102,0.5577412573009053,-0.37265026153237424,0.9312916551060747,False,0.9459021775672874,-0.7182894517478629,0.8060646451182939,crispr_ko
ABCC2,abcc2,,,,248,247,1,2,0.6545034270279639,0.21467107008667716,0.9541380029184907,2.402570154733805,0.8523145539535215,1.7312041799299955,-0.878889625976474,0.4162437560807114,True,0.5569755151246597,0.6095405123649764,0.21292902365878041,crispr_ko
ABCC3,abcc3,,,,247,242,0,3,1.0,0.05427372816994433,0.0,3.755327868852459,1.2654103448472285,4.402289928334576,-3.1368795834873477,0.2124119038582404,True,0.33814625623370465,1.4316352397898677,0.09130289903365545,crispr_ko
