perturbagen,n_signatures,n_cell_lines,median_net,max_net,min_fdr,median_z,frac_directional,n_sig_fdr05,rank_percentile
pde1c,1,1,5.526037530792001,5.526037530792001,0.06555493435855243,9.705569329728597,1.0,0,99.98080614203455
odc1,1,1,4.606365501617007,4.606365501617007,0.17275177236241465,7.763958730211719,1.0,0,99.9616122840691
hmox1,1,1,4.586379166103764,4.586379166103764,0.17275177236241465,7.520511118395148,1.0,0,99.94241842610366
siglec5,1,1,4.519241560642737,4.519241560642737,0.17275177236241465,7.700294043586558,1.0,0,99.9232245681382
lmtk3,1,1,4.37644421713864,4.37644421713864,0.17275177236241465,7.858078602744434,1.0,0,99.90403071017275
slc7a9,1,1,4.177295747528503,4.177295747528503,0.19347542399643883,7.267471428266493,1.0,0,99.88483685220729
gnmt,1,1,4.02210055188681,4.02210055188681,0.25994850657685364,6.320659140875279,1.0,0,99.86564299424184
yrdc,1,1,3.8617909743972616,3.8617909743972616,0.25994850657685364,6.059459567017209,1.0,0,99.84644913627639
csmd1,1,1,3.8596395462816395,3.8596395462816395,0.25994850657685364,6.201133334283607,1.0,0,99.82725527831094
cit,1,1,3.858694999039353,3.858694999039353,0.25994850657685364,6.379624154423899,1.0,0,99.80806142034548
xpot,1,1,3.784399801838275,3.784399801838275,0.2988291568344263,5.67230984419437,1.0,0,99.78886756238003
sigirr,1,1,3.773312085238964,3.773312085238964,0.25994850657685364,6.634352450162618,1.0,0,99.76967370441459
stbd1,1,1,3.6641880179961266,3.6641880179961266,0.2988291568344263,5.851067545699138,1.0,0,99.75047984644914
trex1,1,1,3.65183435810237,3.65183435810237,0.25994850657685364,6.102054518319982,1.0,0,99.73128598848369
aak1,1,1,3.62615432264971,3.62615432264971,0.25994850657685364,6.0881650993352565,1.0,0,99.71209213051824
slc4a3,1,1,3.5946390866577347,3.5946390866577347,0.25994850657685364,6.246652787023157,1.0,0,99.69289827255278
nupl2,1,1,3.5876484904267967,3.5876484904267967,0.3036816374506944,5.417674249739953,1.0,0,99.67370441458733
adcy3,1,1,3.565351420115751,3.565351420115751,0.25994850657685364,6.120191809679379,1.0,0,99.65451055662187
itgae,1,1,3.5231941817382744,3.5231941817382744,0.3036816374506944,5.1926275962815875,1.0,0,99.63531669865642
ndufa1,1,1,3.4415622741233474,3.4415622741233474,0.2988291568344263,5.6231038180920425,1.0,0,99.61612284069098
myom3,1,1,3.4090148163943788,3.4090148163943788,0.25994850657685364,6.451326904863506,1.0,0,99.59692898272553
amy2a,1,1,3.4048865695174073,3.4048865695174073,0.30499830992668386,5.126136458344815,1.0,0,99.57773512476008
med13,1,1,3.3874562737852645,3.3874562737852645,0.3036816374506944,5.422758590406162,1.0,0,99.55854126679462
mfsd10,1,1,3.176670461008695,3.176670461008695,0.2988291568344263,5.67230984419437,1.0,0,99.53934740882917
nlrp7,1,1,3.1675528439932465,3.1675528439932465,0.2988291568344263,5.655831364268858,1.0,0,99.52015355086372
csf3,1,1,3.1526064903865034,3.1526064903865034,0.30499830992668386,5.094094603099787,1.0,0,99.50095969289828
ttc7a,1,1,3.15069961601172,3.15069961601172,0.36231580312431827,4.735235555816219,1.0,0,99.48176583493282
zfp36l1,1,1,3.13323082487073,3.13323082487073,0.3036816374506944,5.19117303721534,1.0,0,99.46257197696737
phykpl,1,1,3.130584095244283,3.130584095244283,0.34387086280915613,4.8901662827780426,1.0,0,99.44337811900192
srm,1,1,3.107044078874414,3.107044078874414,0.3036816374506944,5.345957826657376,1.0,0,99.42418426103646
qdpr,1,1,3.0987785597478887,3.0987785597478887,0.30499830992668386,5.087268034584319,1.0,0,99.40499040307101
plxna3,1,1,3.0665807628222095,3.0665807628222095,0.36231580312431827,4.477289324842273,1.0,0,99.38579654510556
pik3r3,1,1,3.0276448267541465,3.0276448267541465,0.3036816374506944,5.2798992232242945,1.0,0,99.36660268714012
sufu,1,1,3.0193923679415358,3.0193923679415358,0.3621213550720685,4.778722015518899,1.0,0,99.34740882917467
