term,perturbagen,cell_line,time,dose,n_up,n_down,k_downNdisUP,k_upNdisDOWN,p_rev_up,p_rev_down,or_rev_up,or_rev_down,reversal_score,mimic_score,net_score,p_combined,directional,fdr,z_vs_null,emp_p,library
A1BG,a1bg,,,,243,248,3,5,0.7075944567579373,0.7385353131377566,0.8214965986394558,0.8082374580733581,0.2818443120021901,1.3063327343494975,-1.0244884223473074,0.8617247708293584,False,0.9530678766884607,-0.7667591500815734,0.7797400866377874,crispr_ko
A1CF,a1cf,,,,245,247,2,7,0.8805655934801836,0.42276113431750395,0.5436374549819928,1.1413292589763178,0.4291432333289823,0.7655722761436672,-0.3364290428146849,0.740122266697377,True,0.9260198238051288,-0.5005424057260544,0.61946017994002,crispr_ko
A2M,a2m,,,,242,246,5,6,0.2911767321243638,0.5749059387399741,1.4134402396031573,0.9825394506136762,0.7762465374572983,0.34640249029250525,0.4298440471647931,0.4666042190734644,True,0.8196542026128145,0.12678541682519182,0.34221926024658444,crispr_ko
AADACL2,aadacl2,,,,243,247,5,5,0.294024254978598,0.7385353131377566,1.4074442304107375,0.8082374580733581,0.6632455758252809,1.5713513966043808,-0.9081058207791,0.5487701660119876,True,0.8468653944187763,-0.07744383240317201,0.42952349216927693,crispr_ko
AADAT,aadat,,,,239,247,5,8,0.294024254978598,0.2560127575763491,1.4074442304107375,1.3507999247129683,1.1233552342760345,1.440496781938389,-0.3171415476623545,0.2699791680541474,True,0.7280004351846168,0.7541229857104508,0.1789403532155948,crispr_ko
AAK1,aak1,,,,242,247,9,13,0.010203697797422523,0.00825159111346045,2.6570256009380495,2.2639301310043667,4.074704712877409,0.4485503902276992,3.62615432264971,0.0008741604096175682,True,0.25994850657685364,6.0881650993352565,0.0006664445184938354,crispr_ko
AAMP,aamp,,,,241,246,5,5,0.2911767321243638,0.7319390943945284,1.4134402396031573,0.8152687859169273,0.6713683880071457,0.9755145936822374,-0.30414620567509165,0.5425878020857894,True,0.8468653944187763,-0.06276328624173802,0.4178607130956348,crispr_ko
AASS,aass,,,,246,242,9,4,0.008993621426078829,0.8725639384554857,2.715540473101108,0.6329024510842692,2.10526813701361,0.4428252992265008,1.662442837787109,0.045888776391881624,True,0.5039250749424881,2.528756865258952,0.025324891702765744,crispr_ko
AATK,aatk,,,,244,245,3,3,0.699750325249741,0.9486913495262151,0.8319559228650137,0.4746711397545687,0.17793195043654284,1.3883051214285826,-1.2103731709920398,0.9358275239114842,False,0.9785274637015098,-0.9545623623870291,0.8790403198933688,crispr_ko
ABAT,abat,,,,243,246,5,5,0.2911767321243638,0.7385353131377566,1.4134402396031573,0.8082374580733581,0.6674720663821607,0.18407620616581477,0.48339586021634595,0.545548297185639,True,0.8468653944187763,-0.06980519835231123,0.4238587137620793,crispr_ko
ABCA1,abca1,,,,248,245,3,5,0.699750325249741,0.7545082276492439,0.8319559228650137,0.7911655098111942,0.2773929110306996,0.278051697160111,-0.0006587861294114483,0.8651911139732646,False,0.9530678766884607,-0.7748042699220787,0.793402199266911,crispr_ko
ABCA6,abca6,,,,245,246,2,4,0.8791439864114234,0.8705418839428543,0.5459257473481196,0.635599531865092,0.11615031929967046,0.5441024407482238,-0.4279521214485533,0.970016549141926,False,0.9876281242667507,-1.0662217320150138,0.9353548817060979,crispr_ko
ABCA7,abca7,,,,243,242,7,7,0.06428168418828491,0.4144639673922577,2.0616858859834335,1.1512583461736003,1.5744259732917536,0.5452544088030041,1.0291715644887494,0.12322794824528155,True,0.6045674769817553,1.5693535558542182,0.08397200933022327,crispr_ko
ABCA8,abca8,,,,242,243,3,7,0.6944338786519011,0.410312446384822,0.8390740740740741,1.1562862669245648,0.5452544088030041,1.418732630452703,-0.8734782216496989,0.6426690671773567,True,0.8671174995425561,-0.2906919951489871,0.5321559480173276,crispr_ko
ABCA9,abca9,,,,248,248,4,10,0.4928813251334861,0.09684161192152024,1.1081477856618547,1.6519239274657231,1.321195626963317,0.23344515643395025,1.0877504705293668,0.19293830042898424,True,0.6750836275218425,1.1116844991880508,0.13062312562479172,crispr_ko
ABCB1,abcb1,,,,248,245,11,8,0.0009074469771387368,0.28857881296030236,3.356484285618144,1.298840579710145,3.581914299074325,0.706795910814217,2.875118388260108,0.0024216851071922605,True,0.3036816374506944,5.197533596873573,0.001999333555481506,crispr_ko
ABCB11,abcb11,,,,245,245,5,9,0.2883343933063069,0.16632487158960257,1.419486215538847,1.493116719709866,1.3191463538783952,3.5461894483545056,-2.2270430944761106,0.19362456336848863,True,0.6750836275218425,1.1079808005862606,0.13095634788403865,crispr_ko
ABCB9,abcb9,,,,245,245,5,7,0.2883343933063069,0.42276113431750395,1.419486215538847,1.1413292589763178,0.9140084962081827,1.0572107140192981,-0.14320221781111542,0.37843795438608324,True,0.7723586828749348,0.37576578833337754,0.2635788070643119,crispr_ko
ABCC1,abcc1,,,,244,246,4,5,0.4865508001977079,0.7417889744853055,1.117552732206735,0.8047659238242318,0.4425914349084077,0.9285395711143092,-0.4859481362059015,0.7287311749791825,True,0.9248014346238744,-0.4762371602452093,0.5978007330889703,crispr_ko
ABCC2,abcc2,,,,248,247,3,12,0.704997120488287,0.02310760004377743,0.8249544626593807,2.0172491375431227,1.7880578148707624,0.07611501232086386,1.7119428025498986,0.083362509535987,True,0.5947778671305874,1.9554553198288687,0.05064978340553149,crispr_ko
ABCC3,abcc3,,,,247,242,4,6,0.4737991098548488,0.5950196039645776,1.1368368242819515,0.9616182572614108,0.5498744849809608,1.1055267237807418,-0.555652238799781,0.6388676099512671,True,0.8671174995425561,-0.2823420247100223,0.5228257247584138,crispr_ko
ABCC8,abcc8,,,,244,246,4,6,0.4865508001977079,0.5830103007249111,1.117552732206735,0.9740654882642712,0.5471955808360283,1.0953100344640179,-0.5481144536279896,0.6410708280298199,True,0.8671174995425561,-0.2871836700763331,0.5261579473508831,crispr_ko
ABCC9,abcc9,,,,247,247,4,6,0.4897199614358827,0.5950196039645776,1.112830907192433,0.9616182572614108,0.5355209188208455,0.1793829185112053,0.3561380003096402,0.6507045542250682,True,0.8671174995425561,-0.3082835565190703,0.5498167277574142,crispr_ko
ABCD2,abcd2,,,,245,247,4,4,0.4897199614358827,0.8705418839428543,1.112830907192433,0.635599531865092,0.37026252243109686,1.2934088438757514,-0.9231463214446545,0.7897870098883593,True,0.9277334219761493,-0.6069588751705082,0.7064311896034655,crispr_ko
ABCD3,abcd3,,,,246,249,4,6,0.4960347490640017,0.5910364771040002,1.1035028936947913,0.9657327586206896,0.5328736133749209,2.713035482048478,-2.180161868673557,0.6528960437773732,True,0.8671174995425561,-0.3130680928264689,0.5534821726091302,crispr_ko
ABCG2,abcg2,,,,247,248,7,8,0.07127373125941085,0.28490661056783073,2.009027271863419,1.3044205930507549,1.6923679786989347,0.37439857389583064,1.317969404803104,0.09943660202703085,True,0.6045674769817553,1.782512867677025,0.06164611796067977,crispr_ko
ABHD2,abhd2,,,,244,247,3,4,0.704997120488287,0.868492433612301,0.8249544626593807,0.6383190883190883,0.21304661766532976,1.6336608866594802,-1.4206142689941503,0.9126457846392623,False,0.9785274637015098,-0.8910988128608538,0.8367210929690103,crispr_ko
ABHD6,abhd6,,,,245,245,9,7,0.009705747078829197,0.42276113431750395,2.680134016554986,1.1413292589763178,2.386875975620001,1.5431691586935283,0.8437068169264728,0.026654407955433834,True,0.4908931952781666,3.0377132194773577,0.013995334888370544,crispr_ko
ABI3,abi3,,,,248,244,4,2,0.4801896662006301,0.9876136019350451,1.1271144278606966,0.3085296954664462,0.32400012766859415,1.0935709903123672,-0.769570862643773,0.8280442195909576,True,0.9518673296224242,-0.6905699702744557,0.7337554148617128,crispr_ko
ABI3BP,abi3bp,,,,247,247,5,4,0.294024254978598,0.8745588571645747,1.4074442304107375,0.6302275684991734,0.5898277993067519,0.8970916626309056,-0.3072638633241537,0.6063727893302793,True,0.8671174995425561,-0.21013347647206454,0.48250583138953684,crispr_ko
ABL1,abl1,,,,243,249,5,9,0.2997341093893972,0.16082464554133893,1.3955996548748921,1.5062143097077594,1.3169112291550578,2.7855503323959905,-1.4686391032409327,0.19437554516326053,True,0.6750836275218425,1.1039412080236286,0.13328890369876709,crispr_ko
ABL2,abl2,,,,242,246,0,10,1.0,0.08567816902733004,0.0,1.6957803992740472,1.0671298231031812,2.8703800006714206,-1.8032501775682395,0.29620290090340073,True,0.7280004351846168,0.6525055008187615,0.21392869043652116,crispr_ko
ABTB2,abtb2,,,,241,245,7,10,0.06772293739580819,0.08389783108237421,2.035024696901661,1.7033113085744664,2.2455134795467826,0.5586916391018937,1.686821840444889,0.03505951324420068,True,0.5039250749424881,2.7822255136638803,0.01732755748083972,crispr_ko
ACAA2,acaa2,,,,242,244,7,6,0.06656369017467775,0.5749059387399741,2.0438367636164525,0.9825394506136762,1.4171658146205293,1.1153919623530286,0.30177385226750064,0.16314143474132628,True,0.6662262231966227,1.285133637057903,0.10196601132955681,crispr_ko
ACACA,acaca,,,,247,243,4,6,0.4769979901157797,0.5950196039645776,1.131955286329857,0.9616182572614108,0.5469521763464887,1.9480659864353427,-1.4011138100888538,0.6412711516032609,True,0.8671174995425561,-0.2876235806349649,0.5278240586471177,crispr_ko
ACACB,acacb,,,,246,244,4,5,0.4801896662006301,0.7482075859286619,1.1271144278606966,0.7979092835645468,0.44456508319185284,0.9397397218283587,-0.4951746386365059,0.7270597273499996,True,0.9248014346238744,-0.47267014009469543,0.5934688437187604,crispr_ko
ACAD8,acad8,,,,246,244,6,5,0.14732457991342923,0.7482075859286619,1.73109243697479,0.7979092835645468,0.9577026814835259,0.9497840839252202,0.007918597558305707,0.353306280342728,True,0.7723586828749348,0.45473529908398314,0.2372542485838054,crispr_ko
ACADM,acadm,,,,247,245,2,4,0.877706900490612,0.8745588571645747,0.5482328733962721,0.6302275684991734,0.11486144473125412,1.3708777878332228,-1.2560163431019686,0.9706215266260193,False,0.9876281242667507,-1.068551144806335,0.9410196601132955,crispr_ko
ACADSB,acadsb,,,,246,240,6,8,0.13945649877042174,0.28124691667442103,1.7614607614607614,1.3100474972597735,1.406473472548643,1.9528596406922651,-0.5463861681436222,0.16624219378313737,True,0.6662262231966227,1.2658091201485224,0.10429856714428523,crispr_ko
ACAN,acan,,,,247,247,8,4,0.028313897519351407,0.8745588571645747,2.3335693595107823,0.6302275684991734,1.6062113016805553,0.5172874776789196,1.0889238240016357,0.11634352475452935,True,0.6045674769817553,1.6267999143592122,0.07630789736754415,crispr_ko
ACAP1,acap1,,,,244,246,5,6,0.2911767321243638,0.5830103007249111,1.4134402396031573,0.9740654882642712,0.7701671043440625,2.1263621592043287,-1.3561950548602661,0.4708055112006272,True,0.8196542026128145,0.1157979168737011,0.34721759413528824,crispr_ko
ACAT1,acat1,,,,243,246,4,3,0.4865508001977079,0.9477052972813719,1.117552732206735,0.4767021276595745,0.3361985006929602,1.4126976904436794,-1.0764991897507192,0.8180613521239466,True,0.9474613233260033,-0.6685235688227008,0.7234255248250583,crispr_ko
ACAT2,acat2,,,,248,242,9,4,0.008993621426078829,0.8765269002713834,2.715540473101108,0.6275746111811685,2.1033001484384877,1.8757018959674547,0.22759825247103294,0.046061469262309127,True,0.5039250749424881,2.525200074030077,0.025324891702765744,crispr_ko
ACE,ace,,,,247,245,2,5,0.877706900490612,0.751372626878333,0.5482328733962721,0.7945234632710247,0.18079511791604702,0.37026252243109686,-0.18946740451504984,0.9340259763743807,False,0.9785274637015098,-0.9493876936381173,0.870376541152949,crispr_ko
ACE2,ace2,,,,244,242,4,8,0.4737991098548488,0.27396665341256277,1.1368368242819515,1.3214443625644805,0.8867080548214468,0.6779615720662572,0.2087464827551896,0.39483103788736956,True,0.7723586828749348,0.32642506974575564,0.2869043652115961,crispr_ko
ACHE,ache,,,,243,245,5,9,0.2883343933063069,0.16082464554133893,1.419486215538847,1.5062143097077594,1.3337509478160983,0.7800636727896679,0.5536872750264303,0.18878094721607205,True,0.6715351596036625,1.134376020698592,0.1279573475508164,crispr_ko
ACKR1,ackr1,,,,243,246,5,5,0.2911767321243638,0.7385353131377566,1.4134402396031573,0.8082374580733581,0.6674720663821607,1.4864892840908224,-0.8190172177086616,0.545548297185639,True,0.8468653944187763,-0.06980519835231123,0.4238587137620793,crispr_ko
ACKR3,ackr3,,,,245,244,4,6,0.4801896662006301,0.5870332923502021,1.1271144278606966,0.9698816909536864,0.5499244582641403,1.3264169044208636,-0.7764924461567233,0.6388265372665942,True,0.8671174995425561,-0.2822517068405297,0.5228257247584138,crispr_ko
ACLY,acly,,,,247,248,3,9,0.7075944567579373,0.17191356160881058,0.8214965986394558,1.4802392572749623,0.9149054400966392,0.8497877507243874,0.06511768937225182,0.37790840927635827,True,0.7723586828749348,0.37738685574991837,0.2609130289903366,crispr_ko
ACMSD,acmsd,,,,241,248,5,7,0.29687677588203276,0.406159559401867,1.4014975710882143,1.1613571613571614,0.9187270958464973,0.7014863198485994,0.21724077599789782,0.37565858262194246,True,0.7723586828749348,0.38429382249896615,0.2575808063978674,crispr_ko
ACO1,aco1,,,,248,245,4,5,0.483373986082695,0.7545082276492439,1.1223137424908651,0.7911655098111942,0.43805274591948384,1.0399093408262368,-0.6018565949067529,0.7325753952348135,True,0.9248014346238744,-0.48444003773670774,0.6064645118293902,crispr_ko
ACO2,aco2,,,,241,244,7,8,0.06656369017467775,0.2631500377899962,2.0438367636164525,1.3389065124090316,1.756559172801973,0.3960745344874338,1.360484638314539,0.08836288446817006,True,0.6045674769817553,1.898527096134893,0.052649116961012994,crispr_ko
