gene,chrom,n_snps,min_p,score
A1BG,19,86,0.0111132,1.9541608697506174
A1BG-AS1,19,72,0.0111132,1.9541608697506174
A1CF,10,302,0.0113191,1.9461881032336534
A2M,12,242,0.00622974,2.2055300783683687
A2M-AS1,12,84,0.00622974,2.2055300783683687
A2ML1,12,384,0.00235234,2.628499906468279
A2MP1,12,169,0.0409421,1.3878298852929074
A3GALT2,1,139,0.00305478,2.5150200614366223
A4GALT,22,357,0.0500541,1.3005603430708201
A4GNT,3,75,0.056119,1.250890076388355
AA06,17,131,0.00558573,2.252920060819776
AAAS,12,83,0.0318215,1.4972793524591166
AACS,12,433,0.00217185,2.663170172831737
AACSP1,5,646,0.00663163,2.178379712469981
AADAC,3,234,0.00196626,2.7063590556292922
AADACL2,3,233,0.0554868,1.255810320823165
AADACL2-AS1,3,1028,0.00196626,2.7063590556292922
AADACL3,1,143,0.0291481,1.5353897491865718
AADACL4,1,162,0.0236587,1.6260091226978415
AADACP1,3,208,0.0176263,1.7538388424496982
AADAT,4,197,0.0455261,1.34173955199853
AAGAB,15,223,0.00555546,2.255279975032636
AAK1,2,659,0.000222551,3.6525704499390583
AAMDC,11,313,0.0185845,1.73084911873086
AAMP,2,85,0.00831611,2.0800797747425577
AANAT,17,164,0.017848,1.7484104427242186
AAR2,20,98,0.0104311,1.9816698911189834
AARD,8,82,0.0516785,1.2866901004924036
AARS1,16,104,0.00833336,2.079179856307506
AARS2,6,153,0.00385123,2.4144005440238354
AARSD1,17,76,0.0254408,1.5944692361791735
AASDH,4,350,0.0520116,1.283899786092828
AASDHPPT,11,116,0.0590473,1.228799956169176
AASS,7,279,0.00511423,2.2912197445371567
AATBC,21,204,0.0143784,1.842289438698029
AATF,17,308,3.95594e-05,4.40275030399764
AATK,17,488,0.00163859,2.7855296998843313
ABALON,20,53,0.0802287,1.095670244908319
ABAT,16,1043,0.00236352,2.626440718365134
ABCA1,9,979,0.00619056,2.2082700627877436
ABCA10,17,401,0.0422493,1.374180482185431
ABCA11P,4,332,0.0126605,1.897549142426641
ABCA12,2,866,0.00850629,2.0702598152202984
ABCA13,7,2649,0.000974765,3.011100073024198
ABCA17P,16,331,0.00213845,2.6699008997106324
ABCA2,9,174,0.0333887,1.476400490014735
ABCA3,16,231,0.00334149,2.4760598342414153
ABCA4,1,750,0.00635316,2.197010207116792
ABCA5,17,363,0.0142066,1.8475098473306903
ABCA6,17,257,0.024312,1.6141793129281135
ABCA7,19,312,0.00578389,2.2377799751961125
ABCA8,17,362,0.00735309,2.1335301183388586
ABCA9,17,350,0.00967498,2.01434992407635
ABCA9-AS1,17,98,0.00967498,2.01434992407635
ABCB1,7,729,0.00282761,2.5485804911014376
ABCB10,1,204,0.00611801,2.2133898174884323
ABCB11,2,600,0.012418,1.9059483444900356
ABCB4,7,343,0.0121781,1.9144204640744114
ABCB5,7,880,0.0113136,1.946399180100089
ABCB6,2,92,0.00506512,2.295410261119006
ABCB8,7,163,0.00117117,2.9313800607745195
ABCB9,12,125,0.00657068,2.1823896829568383
ABCC1,16,1049,0.00207343,2.6833106220443073
ABCC10,6,186,0.0126976,1.896278358197953
ABCC11,16,356,0.0180053,1.7445996381216797
ABCC12,16,104,0.0238051,1.6233299898098457
ABCC13,21,386,0.00413124,2.383919574413873
ABCC2,10,397,0.00148604,2.82796950043717
ABCC3,17,300,0.0149665,1.8248797499847138
ABCC4,13,1753,0.000330765,3.480480451692196
ABCC5,3,490,0.00259006,2.586690175159253
ABCC5-AS1,3,106,0.039317,1.4054196274917667
ABCC6,16,448,0.0118927,1.9247195362993978
ABCC6P1,16,50,0.00139791,2.8545207883625654
ABCC6P2,16,25,0.0227924,1.6422099419596814
ABCC8,11,555,0.00659705,2.180650224326125
ABCC9,12,475,0.00692134,2.159809816198198
ABCD2,12,282,0.0115069,1.939041661098998
ABCD3,1,274,0.00974653,2.011149976105042
ABCD4,14,156,0.000605494,3.2178901560383557
ABCE1,4,75,0.0107932,1.9668497753074268
ABCF1,6,203,0.00833144,2.0792799289647173
ABCF2,7,166,0.0502956,1.298470006580319
ABCF2-H2BE1,7,174,0.0502956,1.298470006580319
ABCF3,3,111,0.0138376,1.8589392275917203
ABCG1,21,631,0.00706122,2.151120257376825
ABCG2,4,714,0.00376331,2.4244300055057644
ABCG4,11,92,0.0201553,1.695610733240281
ABCG5,2,269,0.00944126,2.024970042298216
ABCG8,2,495,0.00944126,2.024970042298216
ABHD1,2,88,0.000179085,3.7469407887464
ABHD10,3,208,0.0303767,1.5174594078805534
ABHD11,7,82,0.0667252,1.1757101157979863
ABHD11-AS1,7,87,0.0667252,1.1757101157979863
ABHD12,20,527,0.00875891,2.0575499361194685
ABHD12B,14,207,0.00303438,2.5179300327882155
ABHD13,13,149,0.0923188,1.0347098493006202
ABHD14A,3,68,0.0696258,1.1572298017487066
ABHD14A-ACY1,3,102,0.0102431,1.98956858738876
ABHD14B,3,64,0.0696258,1.1572298017487066
ABHD15,17,70,0.0165128,1.782179279163273
ABHD16A,6,149,0.0305366,1.5151793197170285
ABHD16B,20,95,0.00111859,2.9513290675075305
ABHD17A,19,96,0.0214259,1.669060926379121
ABHD17B,9,205,0.0136,1.8664610916297826
ABHD17C,15,416,0.00560699,2.25127021845986
ABHD18,4,271,0.0287806,1.540900156404523
ABHD2,15,448,0.0018031,2.7439801866198783
ABHD3,18,175,0.00315137,2.5015006036413765
ABHD4,14,145,0.03971,1.401100112936117
ABHD5,3,260,0.00454151,2.342799725196828
ABHD6,3,396,0.00955564,2.01974022026148
ABHD8,19,188,0.000188582,3.7244997626789655
ABI1,10,676,0.0108014,1.9665199507288034
ABI2,2,352,0.00398584,2.3994801387794764
ABI3,17,145,0.00138682,2.8579799038003206
ABI3BP,3,1179,0.00316213,2.5000202795264888
ABITRAM,9,98,0.00379839,2.420400446088639
ABL1,9,861,0.00203812,2.6907702492777865
ABL2,1,531,0.0103734,1.9840788753153378
ABLIM1,10,1490,0.00314478,2.502409731181499
ABLIM2,4,1214,0.00162024,2.790420650299574
ABLIM3,5,528,0.0136937,1.8634791908378932
ABO,9,503,0.0185016,1.7327907126172946
ABR,17,1708,0.000189073,3.7233704848419835
ABRA,8,108,0.0575056,1.2402898608638282
ABRACL,6,142,0.00993185,2.002969848185558
ABRAXAS1,4,177,0.00156401,2.80576047446611
ABRAXAS2,10,151,0.0695344,1.1578002884446699
ABT1,6,107,0.00377242,2.423379961340827
ABTB1,3,95,0.00522829,2.281640331208794
ABTB2,11,1044,0.00123251,2.909209548377547
ACAA1,3,99,0.00406041,2.3914301113126
ACAA2,18,229,0.00657885,2.181850015550669
ACACA,17,1020,7.19366e-05,4.143050092457636
ACACB,12,745,0.00857887,2.0665699132100195
ACAD10,12,182,0.00723369,2.140640106878541
ACAD11,3,326,0.0342247,1.4656603500286136
ACAD8,11,110,0.00938383,2.027619868617451
ACAD9,3,309,0.00456794,2.340279609193042
ACADL,2,100,0.00814423,2.089149969987625
ACADM,1,325,0.0355558,1.4490895453551194
ACADS,12,193,0.0244754,1.6112702018180534
ACADSB,10,324,0.00678547,2.1684200652721684
ACADVL,17,73,0.0616964,1.2097401764164846
ACAN,15,427,0.00261096,2.5831997815329895
ACAP1,17,131,0.0142233,1.8469996296597195
ACAP2,3,794,0.00612195,2.213110221751551
ACAP3,1,184,0.00208987,2.6798807282614816
ACAT1,11,157,0.00918777,2.0367898851554056
ACAT2,6,192,0.0368019,1.4341297590923878
ACBD3,1,255,0.0076844,2.114390036669353
ACBD3-AS1,1,113,0.0076844,2.114390036669353
ACBD4,17,123,0.0293056,1.5330493824884155
ACBD5,10,683,0.00837703,2.076909929250077
ACBD6,1,1040,0.0167861,1.7750501939883827
ACBD7,10,215,0.00737157,2.132440006072848
ACBD7-DCLRE1CP1,10,705,0.00737157,2.132440006072848
