"chr","start","end","value","L","direction","n_immune_genes","immune_genes"
"chr11",47378342,47378779,-0.2316,227154,"hypo",1,"SPI1"
"chr1",206772311,206773250,-0.1887,139188,"hypo",1,"IL10"
"chr4",38857966,38858149,-0.2226,167083,"hypo",1,"TLR6"
"chr11",112164078,112165222,-0.1779,114234,"hypo",1,"IL18"
"chr4",73868997,73869384,-0.168,162959,"hypo",1,"CXCL1"
"chr1",153357305,153358300,-0.1856,15752,"hypo",1,"S100A9"
"chr2",113126447,113127700,-0.1761,160869,"hypo",1,"IL1RN"
"chr6",31577157,31578121,0.1299,14533,"hyper",1,"TNF"
"chr6",31577154,31578308,0.1506,74617,"hyper",1,"TNF"
"chr2",102142486,102142908,-0.1984,60960,"hypo",1,"IL1R1"
"chr12",68159616,68160200,0.1184,181223,"hyper",1,"IFNG"
"chr3",101848304,101848957,-0.1958,122870,"hypo",1,"NFKBIZ"
"chr1",153391251,153391928,-0.1771,15259,"hypo",1,"S100A8"
"chr1",186680121,186681347,-0.1028,9973,"hypo",1,"PTGS2"
"chr2",112836798,112837077,-0.1664,40335,"hypo",1,"IL1B"
"chr17",42337495,42337767,0.1138,84223,"hyper",1,"STAT3"
"chr1",154404828,154404903,-0.1507,24810,"hypo",1,"IL6R"
"chr16",11254576,11254827,0.1493,186041,"hyper",1,"SOCS1"
"chr11",36510506,36510873,-0.1114,82205,"hypo",1,"TRAF6"
"chr1",247418106,247418115,-0.219,173984,"hypo",1,"NLRP3"
"chr9",117704069,117704357,-0.1415,62639,"hypo",1,"TLR4"
"chr17",35880337,35881008,0.1284,86306,"hyper",1,"CCL5"
"chr16",85899060,85899064,0.1145,7316,"hyper",1,"IRF8"
"chr1",186680222,186680777,-0.1717,4345,"hypo",1,"PTGS2"
"chr3",39280612,39281155,0.1132,61736,"hyper",1,"CX3CR1"
"chr16",85902541,85903060,0.0849,19356,"hyper",1,"IRF8"
"chr1",153391013,153391104,-0.169,1576,"hypo",1,"S100A8"
"chr6",137871273,137871521,0.1679,259221,"hyper",1,"TNFAIP3"
"chr1",161505180,161505450,-0.1111,69950,"hypo",1,"FCGR2A"
"chr1",161505241,161505267,-0.1643,20557,"hypo",1,"FCGR2A"
"chr11",112164165,112164202,-0.1612,51013,"hypo",1,"IL18"
"chr4",74099203,74099545,-0.1068,113181,"hypo",1,"CXCL2"
"chr16",31355056,31355215,-0.1037,14250,"hypo",1,"ITGAX"
"chr16",31203014,31203105,-0.1542,1042,"hypo",1,"PYCARD"
"chr1",153357724,153358282,-0.1493,57364,"hypo",1,"S100A9"
"chr4",74099445,74099509,-0.1465,377,"hypo",1,"CXCL2"
"chr6",31574779,31574894,0.1455,20059,"hyper",1,"TNF"
"chr5",151081054,151081650,-0.0915,46731,"hypo",1,"TNIP1"
"chr3",39281711,39281725,-0.1356,1485,"hypo",1,"CX3CR1"
"chr11",613792,613857,0.1288,47808,"hyper",1,"IRF7"
"chr1",153390451,153391385,-0.1262,35612,"hypo",1,"S100A8"
"chr1",206470032,206470044,0.0824,39714,"hyper",1,"IKBKE"
"chr5",140633075,140635180,-0.1192,85790,"hypo",1,"CD14"
"chr16",31203080,31203096,-0.118,921,"hypo",1,"PYCARD"
"chr12",6333788,6333800,0.1159,932,"hyper",1,"TNFRSF1A"
"chr3",39281284,39281929,0.0767,57910,"hyper",1,"CX3CR1"
"chr1",154465217,154465703,0.0759,64846,"hyper",1,"IL6R"
"chr17",7579424,7579668,-0.1108,14801,"hypo",1,"CD68"
