"chr","start","end","value","area","cluster","indexStart","indexEnd","L","clusterL"
"chr5",136080642,136080905,0.0991153349309778,0.693807344516845,69666,39138,151096,111959,10
"chr3",129428554,129428734,0.139756721706972,0.559026886827887,62342,6228,29893,23666,8
"chr17",19533587,19533844,0.137300965289021,0.549203861156083,36256,29274,107429,78156,8
"chr1",31412976,31413645,0.0889516028103068,0.533709616861841,2107,12110,32564,20455,14
"chr2",219485011,219485011,0.176649852104846,0.529949556314537,52190,80068,80070,3,9
"chr2",183038661,183039338,0.0856876271321193,0.514125762792716,51255,146746,245859,99114,15
"chr10",133087775,133087801,-0.101832999887796,0.509164999438981,12482,40356,49021,8666,10
"chr9",125747450,125748390,0.1262146872512,0.504858749004801,85652,71973,182795,110823,9
"chr9",2157942,2158492,0.0982787677488124,0.491393838744062,83505,69320,218602,149283,10
"chr9",132978532,132978632,0.120093268058965,0.480373072235859,86219,96090,283593,187504,7
"chr6",30730929,30731066,0.11993096533746,0.479723861349838,72374,4242,167996,163755,8
"chr3",5187014,5188208,-0.11945968266498,0.477838730659918,59082,239979,309486,69508,14
"chr11",44310073,44311422,0.0932324847794349,0.466162423897175,14176,10896,16215,5320,40
"chr19",44002689,44003005,0.115917403917493,0.463669615669973,45443,77366,195772,118407,12
"chr21",44299229,44299914,0.0916898651767369,0.458449325883685,56518,93669,298153,204485,10
"chr3",136929910,136930491,0.111454941261256,0.445819765045026,62575,274762,310913,36152,6
"chr1",145964528,145964748,0.111035972494024,0.444143889976098,4911,249907,281747,31841,13
"chr17",42780490,42780502,0.147206677372107,0.441620032116321,37522,4606,5720,1115,7
"chr6",32968066,32972328,-0.0882521534468138,0.441260767234069,72763,118661,130104,11444,102
"chr9",108933427,108935365,0.146308317660355,0.438924952981064,85108,96467,100841,4375,18
"chr17",58488079,58488552,0.146071754910004,0.438215264730013,38494,51813,105620,53808,8
"chr2",66437789,66437931,0.10897347498212,0.43589389992848,48869,5517,258315,252799,4
"chr1",26786728,26788254,0.108362115571431,0.433448462285723,1846,102765,139257,36493,23
"chr14",63543353,63543497,-0.144045645192331,0.432136935576992,25919,210941,280676,69736,16
"chr5",64165739,64165747,0.143819525403306,0.431458576209918,68456,15831,39145,23315,7
"chr1",212700284,212701210,0.107232965284311,0.428931861137245,7819,152747,279833,127087,10
"chr14",74611908,74612618,0.106657882880879,0.426631531523515,26393,67408,299902,232495,10
"chr6",125153980,125154504,0.106642888793808,0.426571555175233,74786,79821,136162,56342,13
"chr16",31033047,31033779,0.0850824635608424,0.425412317804212,32731,96414,237290,140877,16
"chr8",108248753,108249147,-0.105616848812081,0.422467395248326,82443,184798,309819,125022,10
"chr15",55588272,55589234,0.105052702624536,0.420210810498145,28936,197637,248772,51136,19
"chr10",49613551,49614112,0.139019244107706,0.417057732323117,10031,118955,283367,164413,7
"chr2",8583776,8583881,-0.103796550234228,0.41518620093691,47452,84969,151789,66821,8
"chr3",50345687,50345796,0.103369320945193,0.413477283780774,60711,6551,35746,29196,14
"chr1",31181606,31181927,0.137430646627886,0.412291939883657,2095,6598,149545,142948,4
"chr2",75645830,75646856,-0.0809699974699973,0.404849987349986,49220,155245,224731,69487,10
"chr3",38453446,38453670,0.100872313390902,0.403489253563607,59905,143525,162706,19182,8
"chr1",23868489,23869169,0.100355748866824,0.401422995467298,1623,145284,162180,16897,16
"chr18",6414959,6414979,-0.133257879620929,0.399773638862787,40352,6132,17733,11602,9
"chr1",58546904,58547063,0.0999258217923139,0.399703287169256,3485,120340,250786,130447,11
"chr8",52409761,52410989,-0.0799340520830793,0.399670260415397,81546,79952,118843,38892,11
"chr2",118014263,118014724,0.0989331362680716,0.395732545072286,50100,153944,253326,99383,10
"chr1",220878196,220881070,-0.098752755094019,0.395011020376076,7969,164815,301620,136806,27
"chr2",63047899,63050192,0.13140186455858,0.394205593675741,48791,116747,118998,2252,51
"chr12",89352641,89353640,-0.0787850152598345,0.393925076299173,21131,101164,140219,39056,23
"chr8",29348038,29349466,-0.0981866161543596,0.392746464617438,81110,181027,191231,10205,13
"chr8",42338343,42338621,0.0979933669696877,0.391973467878751,81423,102627,193008,90382,12
"chr6",57221918,57222979,0.0974219300833983,0.389687720333593,73858,50906,133027,82122,20
"chr19",43820595,43820793,0.0973618765023121,0.389447506009248,45430,11772,54493,42722,12
"chr16",84186956,84187209,0.0970590625313374,0.388236250125349,34281,61055,97861,36807,10
"chr19",54465317,54465322,0.193861686997682,0.387723373995364,46809,10534,27541,17008,10
"chr19",58059051,58059284,0.0968413832389566,0.387365532955826,47184,14904,82233,67330,10
"chr10",133785,134564,-0.129020128515531,0.387060385546593,8866,177170,179879,2710,25
"chr19",56314275,56314505,0.193048110158329,0.386096220316659,47035,114815,137151,22337,12
"chr1",237890672,237891269,-0.0962049290279884,0.384819716111953,8581,120899,245313,124415,7
"chr12",110123538,110124666,0.0959203577249065,0.383681430899626,21736,180187,223133,42947,11
"chr19",29941899,29942117,-0.127771412586979,0.383314237760938,44238,99505,291894,192390,8
"chr12",109098274,109098625,0.127234021517617,0.381702064552852,21638,183390,207135,23746,21
