"chr","start","end","value","area","cluster","indexStart","indexEnd","L","clusterL"
"chr20",64038010,64038438,-0.119230361933142,0.596151809665709,55662,58960,264862,205903,5
"chr9",128881742,128882760,0.114177872728725,0.570889363643625,85921,81202,280564,199363,14
"chr14",63543353,63544006,-0.128356013080505,0.513424052322018,25919,210941,283171,72231,16
"chr10",133087775,133088185,-0.0985645636554979,0.49282281827749,12482,42276,49368,7093,10
"chr11",10808683,10809108,0.121701997149249,0.486807988596996,13533,78808,117763,38956,23
"chr5",180591495,180591735,0.121551895544838,0.486207582179353,71293,13673,33324,19652,11
"chr3",5187014,5188208,-0.119768425597354,0.479073702389415,59082,239979,309486,69508,14
"chr19",44002689,44003005,0.119494049761001,0.477976199044005,45443,77366,195772,118407,12
"chr2",55419486,55420344,0.118569311584467,0.474277246337869,48670,93091,164481,71391,13
"chr1",212700284,212701210,0.118470161507558,0.473880646030234,7819,152747,279833,127087,10
"chr2",206086030,206086377,0.0927279533988625,0.463639766994312,51708,103582,159013,55432,9
"chr2",8583776,8583881,-0.114062837179003,0.456251348716013,47452,84969,151789,66821,8
"chr19",56314275,56314505,0.225667560591513,0.451335121183025,47035,114815,137151,22337,12
"chr9",125747450,125748390,0.149732204085308,0.449196612255924,85652,71973,122224,50252,9
"chr13",26253740,26254743,-0.0872356610324732,0.436178305162366,23112,88064,232997,144934,10
"chr8",108248753,108249147,-0.108308795991863,0.433235183967453,82443,184798,309819,125022,10
"chr9",108933427,108935365,0.143866528855565,0.431599586566696,85108,96467,100841,4375,18
"chr12",118135728,118136081,0.0709980669496453,0.425988401697872,22088,77725,187684,109960,13
"chr2",106886159,106887216,-0.105554539429236,0.422218157716944,49873,17146,20965,3820,16
"chr1",145964528,145964748,0.104621429585288,0.418485718341151,4911,249907,281747,31841,13
"chr11",44310073,44311422,0.0836122326141469,0.418061163070735,14176,10896,16215,5320,40
"chr19",12890813,12891176,0.104384178624309,0.417536714497237,43279,127502,246477,118976,15
"chr10",17227003,17227776,0.104188250564589,0.416753002258357,9381,260552,303706,43155,18
"chr3",129428554,129428734,0.103419609763104,0.413678439052416,62342,6228,29893,23666,8
"chr9",2157942,2158492,0.10331902556391,0.413276102255641,83505,111064,218602,107539,10
"chr1",26786728,26788254,0.102598225400862,0.41039290160345,1846,102765,139257,36493,23
"chr19",38565072,38565576,0.10220373227735,0.408814929109398,44792,682,208843,208162,4
"chr17",75515425,75517051,-0.101528147903932,0.406112591615726,39222,131108,292769,161662,13
"chr1",155262327,155262553,-0.134731830906315,0.404195492718946,5598,86778,122582,35805,12
"chr1",22024932,22025242,0.100530265917489,0.402121063669955,1495,123272,150021,26750,11
"chr8",13133113,13133687,-0.133936848380734,0.401810545142201,80599,174554,192358,17805,10
"chr19",13951885,13952219,0.100387800704169,0.401551202816678,43381,130324,258052,127729,7
"chr19",859499,859594,0.13379218877993,0.401376566339791,41594,54159,105306,51148,9
"chr16",56632411,56632422,-0.199360558022959,0.398721116045918,33151,5190,8819,3630,5
"chr2",118014263,118014724,0.0986742884747474,0.39469715389899,50100,153944,253326,99383,10
"chr15",91099681,91100421,0.131095399976847,0.393286199930542,30473,116086,139471,23386,16
"chr11",45811052,45811578,-0.0981236487757664,0.392494595103065,14231,177892,282675,104784,6
"chr5",90558597,90558815,-0.0978847413204551,0.39153896528182,68930,155550,243601,88052,9
"chr17",58488079,58488552,0.12984727779661,0.389541833389831,38494,51813,105620,53808,8
"chr3",125520356,125520569,0.128046911650503,0.384140734951508,62154,159556,243132,83577,10
"chr5",136080692,136080840,0.0763564796026687,0.381782398013343,69666,39138,115672,76535,10
"chr2",127526582,127527299,0.0954390434077673,0.381756173631069,50243,144577,307484,162908,13
"chr2",17539109,17540508,-0.126234593553819,0.378703780661456,47635,36097,63935,27839,17
"chr7",66844836,66845105,0.0945574732010895,0.378229892804358,77626,128153,188264,60112,6
"chr3",55487345,55488603,-0.0933839322468887,0.373535728987555,61038,138463,145395,6933,18
"chr7",25125372,25126279,0.0746903107236826,0.373451553618413,76753,136926,230981,94056,11
"chr19",29941899,29942117,-0.123990748259889,0.371972244779667,44238,99505,291894,192390,8
"chr13",31162100,31162917,0.0928062307274571,0.371224922909828,23288,201195,221328,20134,19
"chr19",40716476,40716928,-0.123393336230816,0.370180008692448,45093,138629,246556,107928,14
"chr1",75130234,75130651,0.123285763539146,0.369857290617438,3763,18329,119809,101481,4
"chr3",136929910,136930491,0.123013574394805,0.369040723184416,62575,301677,310913,9237,6
"chr1",230869038,230869789,0.0920764566360451,0.36830582654418,8387,241063,311315,70253,21
"chr13",20231321,20231540,0.12273915265178,0.368217457955339,22954,80231,98742,18512,25
"chr6",125153980,125154504,0.0916654764858215,0.366661905943286,74786,79821,136162,56342,13
"chr14",104978238,104978728,-0.0915765789354378,0.366306315741751,27632,58796,83600,24805,13
"chr1",151047787,151048392,-0.121538535095305,0.364615605285915,5087,87582,153191,65610,14
"chr17",19533587,19533844,0.120541420198839,0.361624260596516,36256,29274,89976,60703,8
"chr1",226062660,226062742,0.0901090634902736,0.360436253961095,8121,19538,300289,280752,5
"chr11",27506378,27507045,-0.0900578695315431,0.360231478126173,13896,46437,95610,49174,12
"chr10",49613551,49614112,0.119722160711331,0.359166482133993,10031,118955,283367,164413,7
"chr13",109785941,109786659,-0.0896459629747342,0.358583851898937,24442,20631,51894,31264,15
"chr6",45421576,45422925,0.119481041706937,0.358443125120812,73588,178785,256883,78099,15
"chr11",17544338,17544504,-0.0892932419030239,0.357172967612095,13705,18767,47347,28581,10
"chr12",56646038,56646415,0.119054586658271,0.357163759974812,20427,87131,105763,18633,16
"chr11",59142474,59143110,0.0889543999280776,0.35581759971231,14655,191415,257153,65739,21
"chr7",6622173,6622698,-0.118092911296951,0.354278733890853,76473,7989,171407,163419,5
"chr6",43171412,43172243,-0.0708504515126776,0.354252257563388,73415,3912,5340,1429,21
"chr12",82685772,82686688,0.0882595762200297,0.353038304880119,21088,180741,237045,56305,13
"chr15",75579393,75579702,0.0880701865942038,0.352280746376815,29779,26893,207543,180651,15
"chr15",72375542,72376706,0.11739265544074,0.352177966322219,29578,106829,196909,90081,20
"chr7",26200940,26201283,0.116297075569652,0.348891226708957,76770,89102,108896,19795,23
