"chr","start","end","value","area","cluster","indexStart","indexEnd","L","clusterL"
"chr14",100143849,100144330,-0.105817827342143,0.529089136710715,27173,85025,299077,214053,5
"chr14",74611908,74612618,0.113145459233139,0.452581836932556,26393,67408,299902,232495,10
"chr11",66616246,66617006,0.0749842629087443,0.449905577452466,15563,118874,255918,137045,12
"chr19",12890813,12891176,0.112351211067985,0.449404844271941,43279,127502,246477,118976,15
"chr1",212700284,212701210,0.11047187437807,0.441887497512281,7819,152747,279833,127087,10
"chr19",58475894,58476510,0.0878821917772226,0.439410958886113,47251,82039,101679,19641,13
"chr7",33040884,33041107,0.0878125715138852,0.439062857569426,76997,175592,303012,127421,8
"chr9",2157942,2158492,0.0854626959136771,0.427313479568385,83505,69320,218602,149283,10
"chr2",55419486,55420344,0.106400963505306,0.425603854021223,48670,93091,164481,71391,13
"chr14",63543353,63544006,-0.0843844435669967,0.421922217834983,25919,210941,297999,87059,16
"chr11",44310073,44311422,0.0829023496110085,0.414511748055043,14176,10896,16215,5320,40
"chr9",125747450,125748390,0.101767834705262,0.40707133882105,85652,71973,182795,110823,9
"chr5",79235864,79237496,0.101115839473994,0.404463357895976,68768,144663,155515,10853,12
"chr7",66844836,66845105,0.0804114311034307,0.402057155517153,77626,49404,188264,138861,6
"chr10",99430568,99431400,0.100165450534894,0.400661802139578,11340,87078,138888,51811,14
"chr17",58488079,58488552,0.0993837656305671,0.397535062522268,38494,9950,105620,95671,8
"chr19",859499,859594,0.132441399308767,0.3973241979263,41594,54159,105306,51148,9
"chr16",2009618,2010326,-0.079177110512568,0.39588555256284,31144,76642,298880,222239,14
"chr2",70086163,70088357,0.0791177869989218,0.395588934994609,48963,129017,154055,25039,19
"chr15",91099681,91100421,0.131049340859653,0.39314802257896,30473,116086,139471,23386,16
"chr14",94080955,94081600,0.0972990035479247,0.389196014191699,26955,115310,211561,96252,21
"chr16",56632411,56632422,-0.193112876032071,0.386225752064142,33151,5190,8819,3630,5
"chr2",8583863,8583881,-0.128598566451768,0.385795699355305,47452,84969,108115,23147,8
"chr19",44002689,44003005,0.0963033985885889,0.385213594354356,45443,77366,195772,118407,12
"chr8",38386078,38386427,0.0960500312363702,0.384200124945481,81289,169667,255472,85806,16
"chr8",108248753,108249147,-0.0957969042226044,0.383187616890418,82443,184798,309819,125022,10
"chr16",51151090,51151550,-0.0954656954024753,0.381862781609901,33013,23134,60976,37843,22
"chr20",610155,610507,-0.0947540756547666,0.379016302619066,53151,7508,13811,6304,6
"chr10",133785,134564,-0.125929346318841,0.377788038956522,8866,177170,179879,2710,25
"chr10",17227003,17227776,0.0943915268556824,0.37756610742273,9381,260552,303706,43155,18
"chr9",108933427,108935365,0.125057814665428,0.375173443996284,85108,96467,100841,4375,18
"chr18",12407560,12407813,0.0937304181242195,0.374921672496878,40488,81344,124681,43338,9
"chr1",145964528,145964748,0.0935735510146205,0.374294204058482,4911,249907,281747,31841,13
"chr10",133087775,133087801,-0.0925564999352641,0.370225999741057,12482,42276,49021,6746,10
"chr19",56477029,56478371,-0.0729073309148543,0.364536654574271,47043,74671,266084,191414,14
"chr9",38620560,38621031,-0.0728799178966427,0.364399589483213,84259,61498,227131,165634,6
"chr6",45421576,45422925,0.120328508822803,0.36098552646841,73588,178785,256883,78099,15
"chr12",109098274,109098625,0.119358595064607,0.358075785193822,21638,183390,207135,23746,21
"chr1",26786728,26788254,0.118599686782795,0.355799060348384,1846,102765,137534,34770,23
"chr12",56646038,56646415,0.118378878942804,0.355136636828412,20427,87131,105763,18633,16
"chr17",38852945,38853905,0.117996811919667,0.353990435759001,36973,272493,295316,22824,19
"chr1",89994145,89995532,0.117518647582202,0.352555942746607,4025,99850,143543,43694,13
"chr7",100633491,100633655,0.117516117446472,0.352548352339417,78478,4251,67656,63406,9
"chr6",30691266,30691736,-0.0880131859057484,0.352052743622994,72359,104824,131503,26680,20
"chr19",40716476,40716928,-0.0877984807927141,0.351193923170856,45093,138629,248818,110190,14
"chr4",102324343,102324962,0.117030717984215,0.351092153952646,66089,162922,280804,117883,5
"chr1",58546904,58547063,0.0877680745075932,0.351072298030373,3485,120340,250786,130447,11
"chr13",109784746,109786659,-0.0701737238904864,0.350868619452432,24442,4541,25054,20514,15
"chr3",5187014,5188208,-0.0874350387654181,0.349740155061672,59082,239979,309486,69508,14
"chr1",220878196,220881070,-0.0872756426306336,0.349102570522534,7969,164815,301620,136806,27
"chr2",17539109,17540508,-0.115939972063565,0.347819916190696,47635,36097,63935,27839,17
"chr20",40687471,40689193,0.115447473893813,0.346342421681438,54496,2598,16487,13890,15
"chr6",30006938,30007067,-0.0864020094517581,0.345608037807033,72246,16410,50533,34124,8
"chr6",28924116,28924300,0.0862907396829189,0.345162958731675,72141,179094,188866,9773,40
"chr10",125719199,125719572,0.11443276617568,0.34329829852704,12254,59928,103933,44006,15
"chr15",72375542,72376706,0.114345827080843,0.343037481242528,29578,106829,196909,90081,20
"chr17",28718146,28720549,0.0855678967023455,0.342271586809382,36452,132933,197728,64796,42
"chr10",72626274,72626494,0.0855040941184267,0.342016376473707,10514,167140,183894,16755,10
"chr2",63047899,63050192,0.113848094273505,0.341544282820516,48791,116747,118998,2252,51
"chr22",31107513,31108696,0.085221600221604,0.340886400886416,57667,58590,220168,161579,9
"chr17",50468960,50469142,0.113372400547501,0.340117201642504,38218,284,8914,8631,16
"chr1",21783454,21783796,0.113171019931191,0.339513059793573,1459,93750,153995,60246,13
"chr5",136080516,136080905,0.0678465495356509,0.339232747678254,69666,39841,157265,117425,10
"chr11",11841183,11842082,0.0844684325458345,0.337873730183338,13548,81543,179168,97626,13
"chr13",52011617,52012153,0.112566441943544,0.337699325830633,23823,193738,201461,7724,14
"chr7",107168511,107168879,0.0844135175027674,0.33765407001107,78801,131723,188302,56580,11
"chr17",19533587,19533844,0.112527217350193,0.337581652050578,36256,29274,89976,60703,8
"chr4",148444556,148444724,0.112315507217629,0.336946521652888,66726,247354,300279,52926,7
"chr12",123584247,123585750,0.0841417431498331,0.336566972599332,22487,186480,213790,27311,21
"chr3",136929910,136930491,0.0841109988371053,0.336443995348421,62575,274762,310913,36152,6
"chr6",28141799,28142160,0.0837751783881434,0.335100713552573,72080,97702,118449,20748,16
"chr10",32378791,32379877,0.0836340573411567,0.334536229364627,9694,175686,239714,64029,10
"chr6",30730929,30731066,0.0835610662779028,0.334244265111611,72374,4242,167996,163755,8
"chr16",31073836,31075019,0.110329008336492,0.330987025009475,32739,236605,264253,27649,25
