"chr","start","end","value","L","direction","genes"
"13",75326382,75326382,0.4571,1,"hyper","TBC1D4"
"17",30115462,30115462,-0.4016,1,"hypo","NSRP1"
"1",203768844,203768844,-0.3984,1,"hypo","LAX1"
"4",67558915,67558915,-0.389,1,"hypo","STAP1"
"6",111230461,111230461,-0.3879,1,"hypo","SLC16A10"
"11",71997145,71997145,-0.3867,1,"hypo","RNF121"
"12",54463248,54463248,-0.3822,1,"hypo","GTSF1"
"9",93471360,93471360,-0.3812,1,"hypo","FAM120A"
"12",122235826,122235826,-0.3782,1,"hypo","VPS33A"
"6",53069659,53069659,-0.3759,1,"hypo","FBXO9"
"12",51391125,51391125,-0.3751,1,"hypo","SLC4A8"
"13",97221693,97221693,-0.375,1,"hypo","MBNL2"
"18",31857618,31857618,-0.3743,1,"hypo","TRAPPC8"
"3",171811287,171811287,-0.3732,1,"hypo","PLD1"
"12",110455877,110455877,-0.373,1,"hypo","GPN3"
"12",12469657,12469657,-0.3725,1,"hypo","BORCS5"
"12",10170485,10170485,-0.3725,1,"hypo","TMEM52B"
"7",157137870,157137870,-0.3717,1,"hypo","UBE3C"
"5",93881619,93881619,-0.3713,1,"hypo","FAM172A"
"6",137874891,137874891,-0.3696,1,"hypo","TNFAIP3"
"15",75627447,75627447,-0.369,1,"hypo","SNUPN"
"2",10054625,10054625,-0.3685,1,"hypo","KLF11"
"22",45213540,45213540,-0.368,1,"hypo","KIAA0930"
"1",11662878,11662878,-0.3678,1,"hypo","FBXO44;FBXO6"
"1",193106061,193106061,-0.3655,1,"hypo","GLRX2"
