"chr","start","end","value","L","direction","n_immune_genes","immune_genes"
"chr12",43759004,43759414,-0.0936,36123,"hypo",1,"IRAK4"
"chr3",101827540,101827920,0.0694,113254,"hyper",1,"NFKBIZ"
"chr17",78360151,78360829,-0.0896,2150,"hypo",1,"SOCS3"
"chr16",85899060,85899062,0.1172,1863,"hyper",1,"IRF8"
"chr1",206470392,206470498,-0.1171,20370,"hypo",1,"IKBKE"
"chr8",127734149,127735727,0.0771,1289,"hyper",1,"MYC"
"chr12",6341869,6342150,0.0761,53550,"hyper",1,"TNFRSF1A"
"chr14",75278317,75278815,-0.1123,36781,"hypo",1,"FOS"
"chr3",101849344,101849351,-0.1032,111618,"hypo",1,"NFKBIZ"
"chr6",36027469,36027590,0.102,2013,"hyper",1,"MAPK14"
"chr10",102393994,102394443,0.1003,56085,"hyper",1,"NFKB2"
"chr17",42388525,42388847,0.0657,15581,"hyper",1,"STAT3"
"chr3",38137193,38137807,-0.0641,17935,"hypo",1,"MYD88"
"chr3",101848304,101848912,-0.0959,69354,"hypo",1,"NFKBIZ"
"chr17",35880337,35881008,0.0933,52539,"hyper",1,"CCL5"
"chr6",137867146,137867408,-0.0596,11615,"hypo",1,"TNFAIP3"
"chr5",140633075,140635180,-0.0862,85790,"hypo",1,"CD14"
"chr14",35404477,35404971,0.0831,2029,"hyper",1,"NFKBIA"
"chr6",90587633,90587797,-0.0825,458,"hypo",1,"MAP3K7"
"chr5",151081054,151081604,-0.0792,22441,"hypo",1,"TNIP1"
"chr16",85902222,85902536,0.0774,3282,"hyper",1,"IRF8"
"chr6",137867274,137868167,0.0732,4392,"hyper",1,"TNFAIP3"
"chr1",154405048,154405099,0.0719,5460,"hyper",1,"IL6R"
"chr12",43758314,43758912,-0.0702,64725,"hypo",1,"IRAK4"
"chr17",42388632,42388842,0.0684,884,"hyper",1,"STAT3"
"chr1",153357834,153357874,0.0672,9331,"hyper",1,"S100A9"
"chr4",73740400,73740475,0.062,34681,"hyper",1,"CXCL8"
"chr5",55995560,55995607,0.0608,10813,"hyper",1,"IL6ST"
"chr2",191014426,191014815,0.0596,36194,"hyper",1,"STAT1"
"chr19",44757021,44757096,0.0593,14681,"hyper",1,"BCL3"
"chr4",74099203,74099545,0.0573,34151,"hyper",1,"CXCL2"
"chr16",11256514,11257058,0.0564,11405,"hyper",1,"SOCS1"
"chr6",137219020,137219529,0.0559,635,"hyper",1,"IFNGR1"
"chr8",127735449,127735901,-0.0539,3062,"hypo",1,"MYC"
