"chr","start","end","value","area","cluster","indexStart","indexEnd","L","clusterL"
"chr3",24494047,24495916,-0.168408675234923,3.19976482946353,59638,349,81337,80989,29
"chr6",31571762,31572682,0.165383833737845,2.97690900728122,72494,8402,186397,177996,18
"chr8",38973295,38974338,-0.192759768046937,2.50587698461018,81327,237,273913,273677,13
"chr20",13995207,13996193,-0.171026261617628,2.3943676626468,53605,1082,106783,105702,20
"chr10",62048161,62049411,0.170435337969628,2.38609473157479,10166,68351,271821,203471,14
"chr11",47378342,47378779,-0.231576537650849,2.31576537650849,14363,41247,268400,227154,10
"chr6",124961724,124963513,-0.150501682431956,2.25752523647934,74778,15650,179736,164087,16
"chr1",24964894,24966247,0.155268032189987,2.17375245065982,1699,67163,273593,206431,21
"chr1",209674273,209676100,-0.165506684264413,2.15158689543737,7708,624,308752,308129,13
"chr20",62952558,62952756,-0.347248823198286,2.08349293918972,55477,407,74796,74390,11
"chr3",165195839,165197408,-0.134345787714855,2.01518681572283,63162,8314,164316,156003,15
"chr3",10292862,10293604,-0.250260404540622,2.00208323632498,59249,30771,249093,218323,8
"chr2",106885898,106887893,-0.140363457526674,1.96508840537344,49873,6363,166248,159886,16
"chr17",7557943,7558932,-0.194935358136376,1.94935358136376,35563,71382,269648,198267,13
"chr3",96813796,96814980,-0.147312487880894,1.91506234245162,61486,9164,162434,153271,13
"chr4",89057100,89057581,-0.266514444333883,1.86560111033718,65964,3149,269693,266545,7
"chr9",127762294,127762900,-0.185297769842322,1.85297769842322,85746,60360,290065,229706,10
"chr11",7019849,7020756,-0.114061580936514,1.82498529498423,13321,40114,235607,195494,17
"chr8",27611167,27611849,-0.227145564676607,1.81716451741285,81028,105024,269671,164648,11
"chr2",28394685,28395964,-0.19897156735629,1.79074410620661,48060,39235,302552,263318,9
"chr1",56645051,56645826,-0.178977897480273,1.78977897480273,3462,33128,81056,47929,16
"chr13",113001246,113001898,-0.147964070896037,1.77556885075244,24585,54484,276674,222191,14
"chr5",177509562,177510833,-0.177173668806105,1.77173668806105,71108,3889,231823,227935,10
"chr16",88976763,88977299,-0.192489011725875,1.73240110553288,34595,52811,297309,244499,9
"chr3",52494698,52495377,-0.216529614255807,1.73223691404646,60897,30735,160422,129688,9
"chr11",46344869,46345550,-0.214307250496999,1.714458003976,14264,76,304718,304643,8
"chr12",121580544,121582261,-0.139019377602217,1.66823253122661,22292,79179,224637,145459,23
"chr9",123033004,123033656,-0.236885906547722,1.65820134583405,85534,187425,266726,79302,7
"chr12",89350694,89350924,-0.184072899435582,1.65665609492024,21130,25651,304189,278539,9
"chr13",109784746,109786659,-0.164230425781143,1.64230425781143,24442,4541,114990,110450,15
"chr7",128939822,128940738,-0.182235206262291,1.64011685636062,79217,15026,239297,224272,9
"chr2",106064955,106065753,-0.204023211419093,1.63218569135274,49852,638,162970,162333,10
"chr17",35448760,35449664,-0.201890132206952,1.61512105765562,36787,122271,297133,174863,11
"chr17",6775935,6776245,-0.178488294526201,1.60639465073581,35409,5771,109670,103900,11
"chr6",62285971,62287218,-0.133021008132789,1.59625209759347,73867,10818,222534,211717,12
"chr22",44172323,44172932,-0.175855031277922,1.5826952815013,58606,11655,303269,291615,9
"chr3",111998710,111999398,-0.175491346778412,1.57942212100571,61736,22245,142301,120057,13
"chr7",153886478,153887663,-0.174430929201207,1.56987836281086,80134,412,118382,117971,15
"chr2",74499351,74499883,-0.173572695615793,1.56215426054214,49174,13402,156019,142618,12
"chr1",9715555,9717034,0.195180435394288,1.5614434831543,732,305,302016,301712,8
"chr3",158672540,158673032,-0.141587513160864,1.5574626447695,63080,36353,243941,207589,12
"chr9",121285910,121286880,-0.172418286911096,1.55176458219987,85429,609,291399,290791,9
"chr1",9824507,9825459,-0.193774478663053,1.55019582930442,750,4900,111702,106803,13
"chr1",220747874,220748704,-0.193525367108991,1.54820293687193,7958,25933,158927,132995,11
"chr17",40308478,40309258,-0.154735562911718,1.54735562911718,37172,7166,126533,119368,13
"chr3",33659198,33659731,-0.193223083262312,1.5457846660985,59776,84689,223707,139019,12
"chr4",95548943,95549736,-0.128667851436297,1.54401421723557,66016,968,104709,103742,19
"chr9",13279187,13280026,-0.220029743079562,1.54020820155693,83690,60598,103479,42882,10
"chr19",56477029,56478371,-0.17093945893664,1.53845513042976,47043,9840,266084,256245,14
"chr17",7444997,7445334,-0.170542182624364,1.53487964361928,35540,21276,258780,237505,9
"chr16",3064846,3065808,0.138652960606304,1.52518256666934,31402,6879,292045,285167,11
"chr15",90884131,90884735,-0.216908002473582,1.51835601731507,30433,5828,89847,84020,18
"chr22",44068569,44069158,-0.167782731396179,1.51004458256561,58603,64011,276879,212869,9
"chr22",41367089,41367508,-0.135846180814485,1.49430798895934,58368,22169,299071,276903,11
"chr7",76327614,76328731,-0.147899571567923,1.47899571567923,77828,11981,287896,275916,12
"chr2",159614727,159617836,-0.211148430919117,1.47803901643382,50681,237971,310378,72408,19
"chr18",6414959,6415253,-0.164023544282988,1.47621189854689,40352,6132,209415,203284,9
"chr3",11582395,11582556,-0.210453106387519,1.47317174471263,59303,247544,305351,57808,15
"chr19",58033754,58033965,-0.183040144702257,1.46432115761805,47180,2787,111046,108260,9
