"chr","start","end","value","L","direction","n_immune_genes","immune_genes"
"chr3",101848304,101848912,-0.1195,69354,"hypo",1,"NFKBIZ"
"chr6",36027469,36027590,0.1155,2013,"hyper",1,"MAPK14"
"chr2",112836798,112837386,-0.077,35578,"hypo",1,"IL1B"
"chr12",43759004,43759414,-0.0739,36123,"hypo",1,"IRAK4"
"chr4",38856805,38857002,0.0715,108951,"hyper",1,"TLR6"
"chr12",6341869,6342150,0.0706,53550,"hyper",1,"TNFRSF1A"
"chr16",85902222,85902536,0.099,3282,"hyper",1,"IRF8"
"chr8",127734149,127735727,0.0625,1289,"hyper",1,"MYC"
"chr14",75278317,75278815,-0.091,36781,"hypo",1,"FOS"
"chr10",102393994,102394443,0.0891,56085,"hyper",1,"NFKB2"
"chr3",38137252,38137807,-0.0852,13386,"hypo",1,"MYD88"
"chr5",151081054,151081604,-0.085,22441,"hypo",1,"TNIP1"
"chr5",140633075,140635180,-0.0827,85790,"hypo",1,"CD14"
"chr3",101849344,101849351,-0.0799,111618,"hypo",1,"NFKBIZ"
"chr14",35404477,35404971,0.0794,2029,"hyper",1,"NFKBIA"
"chr19",4831879,4831939,-0.0779,33614,"hypo",1,"TICAM1"
"chr19",49665202,49666244,0.0737,633,"hyper",1,"IRF3"
"chr1",154405048,154405099,0.0723,5460,"hyper",1,"IL6R"
"chr6",137220250,137220680,-0.0701,20586,"hypo",1,"IFNGR1"
"chr16",85898608,85898777,-0.0644,506,"hypo",1,"IRF8"
"chr6",90587633,90587797,-0.0632,458,"hypo",1,"MAP3K7"
"chr17",78360657,78360829,-0.0624,385,"hypo",1,"SOCS3"
"chr12",6341964,6342132,-0.0578,20485,"hypo",1,"TNFRSF1A"
"chr12",69353493,69353837,0.0555,43713,"hyper",1,"LYZ"
