"chr","start","end","value","area","cluster","indexStart","indexEnd","L","clusterL"
"chr3",24494047,24495916,-0.168408675234925,3.19976482946357,59638,349,81337,80989,29
"chr6",31571762,31572682,0.165383833737846,2.97690900728124,72494,8402,186397,177996,18
"chr8",38973295,38974338,-0.192759768046938,2.50587698461019,81327,237,273913,273677,13
"chr20",13995207,13996193,-0.17102626161763,2.39436766264682,53605,1082,106783,105702,20
"chr10",62048161,62049411,0.170435337969629,2.3860947315748,10166,68351,271821,203471,14
"chr11",47378342,47378779,-0.23157653765085,2.3157653765085,14363,41247,268400,227154,10
"chr6",124961724,124963513,-0.150501682431957,2.25752523647936,74778,15650,179736,164087,16
"chr1",24964894,24966247,0.155268032189988,2.17375245065983,1699,67163,273593,206431,21
"chr1",209674273,209676100,-0.165506684264414,2.15158689543739,7708,624,308752,308129,13
"chr20",62952558,62952756,-0.347248823198288,2.08349293918973,55477,407,74796,74390,11
"chr3",165195839,165197408,-0.134345787714856,2.01518681572285,63162,8314,164316,156003,15
"chr3",10292862,10293604,-0.250260404540623,2.00208323632499,59249,30771,249093,218323,8
"chr2",106885898,106887893,-0.140363457526676,1.96508840537346,49873,6363,166248,159886,16
"chr17",7557943,7558932,-0.194935358136377,1.94935358136377,35563,71382,269648,198267,13
"chr3",96813796,96814980,-0.147312487880896,1.91506234245164,61486,9164,162434,153271,13
"chr4",89057100,89057581,-0.266514444333884,1.86560111033719,65964,3149,269693,266545,7
"chr9",127762294,127762900,-0.185297769842323,1.85297769842323,85746,60360,290065,229706,10
"chr11",7019849,7020756,-0.114061580936516,1.82498529498425,13321,40114,235607,195494,17
"chr8",27611167,27611849,-0.227145564676608,1.81716451741286,81028,105024,269671,164648,11
"chr2",28394685,28395964,-0.198971567356292,1.79074410620662,48060,39235,302552,263318,9
"chr1",56645051,56645826,-0.178977897480274,1.78977897480274,3462,33128,81056,47929,16
"chr13",113001246,113001898,-0.147964070896038,1.77556885075246,24585,54484,276674,222191,14
"chr5",177509562,177510833,-0.177173668806106,1.77173668806106,71108,3889,231823,227935,10
"chr16",88976763,88977299,-0.192489011725877,1.73240110553289,34595,52811,297309,244499,9
"chr3",52494698,52495377,-0.216529614255808,1.73223691404646,60897,30735,160422,129688,9
"chr11",46344869,46345550,-0.214307250497,1.714458003976,14264,76,304718,304643,8
"chr12",121580544,121582261,-0.139019377602219,1.66823253122662,22292,79179,224637,145459,23
"chr9",123033004,123033656,-0.236885906547723,1.65820134583406,85534,187425,266726,79302,7
"chr12",89350694,89350924,-0.184072899435583,1.65665609492025,21130,25651,304189,278539,9
