"chr","start","end","value","L","direction","n_immune_genes","immune_genes"
"chr8",127734149,127735727,0.1028,1289,"hyper",1,"MYC"
"chr12",43759004,43759414,-0.0882,36123,"hypo",1,"IRAK4"
"chr17",78360151,78360829,-0.0851,2150,"hypo",1,"SOCS3"
"chr12",6341869,6342150,0.0846,53550,"hyper",1,"TNFRSF1A"
"chr14",75278317,75278815,-0.123,36781,"hypo",1,"FOS"
"chr19",44747381,44748668,0.1222,60362,"hyper",1,"BCL3"
"chr1",154404927,154405099,0.0803,85732,"hyper",1,"IL6R"
"chr10",102393994,102394443,0.1117,56085,"hyper",1,"NFKB2"
"chr6",137867146,137867408,-0.0661,11615,"hypo",1,"TNFAIP3"
"chr19",4831879,4831939,-0.0986,33614,"hypo",1,"TICAM1"
"chr3",101848304,101848912,-0.0955,69354,"hypo",1,"NFKBIZ"
"chr1",206470392,206470498,-0.0947,20370,"hypo",1,"IKBKE"
"chr17",42388554,42388847,0.063,70404,"hyper",1,"STAT3"
"chr4",73868997,73869384,0.0922,23186,"hyper",1,"CXCL1"
"chr2",112837077,112837386,-0.0809,10689,"hypo",1,"IL1B"
"chr10",102394393,102395528,-0.0808,5162,"hypo",1,"NFKB2"
"chr6",137220250,137220680,-0.08,20586,"hypo",1,"IFNGR1"
"chr6",90587633,90587797,-0.0799,458,"hypo",1,"MAP3K7"
"chr5",151081054,151081604,-0.0788,22441,"hypo",1,"TNIP1"
"chr1",153357724,153358282,0.0778,57364,"hyper",1,"S100A9"
"chr3",101849344,101849351,-0.0775,111618,"hypo",1,"NFKBIZ"
"chr11",112164165,112164202,0.075,51013,"hyper",1,"IL18"
"chr16",85902803,85902874,0.0749,10794,"hyper",1,"IRF8"
"chr11",36510374,36510873,0.0739,8647,"hyper",1,"TRAF6"
"chr11",615170,615635,0.0735,35645,"hyper",1,"IRF7"
"chr16",85902222,85902536,0.0714,3282,"hyper",1,"IRF8"
"chr4",74099203,74099545,0.0694,34151,"hyper",1,"CXCL2"
"chr1",153357834,153357874,0.0669,9331,"hyper",1,"S100A9"
"chr6",36027469,36027590,0.0668,2013,"hyper",1,"MAPK14"
"chr6",137219020,137219529,0.064,635,"hyper",1,"IFNGR1"
"chr19",44757021,44757096,0.0625,14681,"hyper",1,"BCL3"
"chr4",73740400,73740475,0.0617,34681,"hyper",1,"CXCL8"
"chr3",38137252,38137807,-0.0616,13386,"hypo",1,"MYD88"
"chr3",101827540,101827745,0.0598,64927,"hyper",1,"NFKBIZ"
"chr14",35404477,35404971,0.0589,2029,"hyper",1,"NFKBIA"
"chr1",186680198,186680499,0.0512,3121,"hyper",1,"PTGS2"
